miRNA Number_of_reads
hsa-mir-4448-3p 34
hsa-mir-6859-1-5p 7
hsa-mir-195-5p 2398
hsa-mir-503-3p 18
hsa-mir-3149-3p 141
hsa-mir-4662a-5p 87
hsa-mir-339-loop 498
hsa-mir-1293-3p 481
hsa-mir-514a-3-3p 3
hsa-mir-331-5p 3256
hsa-mir-10396b-loop 20
hsa-mir-6771-3p 10
hsa-mir-602-5p 6
hsa-mir-3160-2-3p 30
hsa-mir-6733-5p 7
hsa-mir-106b-5p 400959
hsa-mir-941-2-5p 62
hsa-mir-3910-1-3p 10
hsa-mir-376a-1-3p 61
hsa-mir-3176-3p 503
hsa-mir-7976-5p 2349
hsa-mir-652-3p 14835
hsa-mir-103a-1-loop 67
hsa-mir-6832-3p 5
hsa-mir-1322-3p 1
hsa-mir-548f-2-3p 132
hsa-mir-203a-loop 28
hsa-mir-302d-loop 1
hsa-mir-302a-5p 1157
hsa-mir-6763-3p 31
hsa-mir-181a-2-3p 18133
hsa-mir-5680-3p 12
hsa-mir-628-5p 1532
hsa-mir-329-1-3p 93
hsa-mir-1179-3p 3
hsa-mir-34c-3p 8
hsa-mir-10396b-5p 6
hsa-mir-103a-1-5p 22
hsa-mir-3179-3-5p 34
hsa-mir-140-3p 88493
hsa-mir-135a-2-5p 48
hsa-mir-493-3p 12
hsa-mir-3942-5p 699
hsa-mir-454-3p 46683
hsa-mir-3690-1-5p 3
hsa-mir-3202-1-5p 1
hsa-mir-449c-3p 78
hsa-mir-10396a-3p 10
hsa-mir-1302-4-3p 2
hsa-mir-126-loop 256
hsa-mir-548av-3p 14
hsa-mir-548g-5p 5
hsa-mir-450a-2-3p 74
hsa-mir-4680-3p 5
hsa-mir-7976-3p 162
hsa-mir-193b-3p 26745
hsa-mir-548ai-5p 60
hsa-mir-3199-1-3p 9
hsa-mir-1244-1-3p 1
hsa-mir-4655-5p 14
hsa-mir-584-loop 27
hsa-mir-1185-1-5p 2
hsa-mir-548u-5p 23
hsa-mir-6805-loop 19
hsa-mir-7851-5p 476
hsa-mir-643-5p 161
hsa-mir-33a-5p 1130
hsa-mir-941-3-5p 56
hsa-mir-5001-5p 117
hsa-mir-1538-3p 96
hsa-mir-6814-5p 12
hsa-mir-196b-3p 196
hsa-mir-6859-2-3p 10
hsa-mir-501-3p 10801
hsa-mir-6501-3p 22
hsa-mir-3148-5p 45
hsa-mir-6850-3p 85
hsa-mir-1260b-5p 9763
hsa-mir-1268b-5p 1649
hsa-mir-6797-3p 94
hsa-mir-7109-5p 9
hsa-mir-486-2-3p 93
hsa-mir-4720-5p 1
hsa-mir-30d-loop 6
hsa-mir-561-3p 2051
hsa-mir-8072-loop 17
hsa-mir-4729-3p 16
hsa-mir-6505-3p 17
hsa-mir-6516-5p 142
hsa-mir-4761-3p 69
hsa-mir-548az-3p 36
hsa-mir-5702-3p 44
hsa-mir-941-5-5p 72
hsa-mir-592-5p 47
hsa-mir-4430-3p 5
hsa-mir-181b-1-loop 51
hsa-mir-4483-3p 2
hsa-mir-29b-1-loop 2258
hsa-mir-4658-3p 3
hsa-mir-32-5p 4690
hsa-mir-4508-5p 20
