miRNA Number_of_reads
hsa-mir-6846-5p 9
hsa-mir-627-5p 494
hsa-mir-1228-5p 33
hsa-mir-223-3p 99
hsa-mir-500a-3p 11630
hsa-mir-95-5p 317
hsa-mir-185-5p 52386
hsa-mir-1237-loop 7
hsa-mir-1179-5p 111
hsa-mir-1303-5p 1045
hsa-mir-610-5p 87
hsa-mir-6866-3p 7
hsa-mir-4734-3p 10
hsa-mir-6511b-2-5p 66
hsa-mir-378d-2-5p 662
hsa-mir-2277-3p 749
hsa-mir-632-3p 13
hsa-mir-6716-3p 85
hsa-mir-4761-5p 24
hsa-mir-1237-3p 26
hsa-mir-5581-3p 635
hsa-mir-5196-3p 12
hsa-mir-6801-loop 3
hsa-mir-152-loop 5
hsa-mir-6849-loop 10
hsa-mir-4470-loop 18
hsa-mir-187-3p 124
hsa-mir-4796-5p 342
hsa-mir-339-5p 72749
hsa-mir-23a-3p 1671083
hsa-mir-3667-loop 24
hsa-mir-7114-3p 11
hsa-mir-196a-1-3p 680
hsa-mir-3120-loop 5
hsa-mir-1-2-3p 5
hsa-mir-450a-2-5p 1716
hsa-mir-4689-5p 61
hsa-mir-1302-7-3p 2
hsa-mir-12122-5p 3
hsa-mir-4519-5p 5
hsa-mir-221-5p 80822
hsa-mir-150-5p 39
hsa-mir-7114-5p 29
hsa-mir-3912-5p 3
hsa-mir-186-5p 286861
hsa-mir-6509-3p 18
hsa-mir-92b-5p 1732
hsa-mir-548o-3p 1495
hsa-mir-6729-5p 15
hsa-mir-340-5p 87526
hsa-mir-4639-3p 6
hsa-mir-483-5p 364
hsa-mir-1272-5p 380
hsa-mir-5690-5p 227
hsa-mir-7110-3p 20
hsa-mir-5697-5p 58
hsa-mir-330-3p 20647
hsa-mir-517b-3p 2
hsa-mir-320c-1-3p 578
hsa-mir-3160-2-5p 4
hsa-mir-330-loop 38
hsa-mir-6753-3p 19
hsa-mir-579-5p 759
hsa-mir-4435-1-3p 5
hsa-mir-4787-loop 15
hsa-mir-941-5-loop 197
hsa-mir-466-5p 38
hsa-mir-548d-2-loop 5
hsa-mir-3918-3p 39
hsa-mir-3617-3p 26
hsa-mir-3648-2-3p 170
hsa-mir-4436b-2-3p 57
hsa-mir-4783-3p 5
hsa-mir-663b-5p 5
hsa-mir-6763-5p 37
hsa-mir-20a-5p 230402
hsa-mir-3680-2-3p 15
hsa-mir-6511a-4-5p 67
hsa-mir-6515-5p 42
hsa-mir-4449-3p 31
hsa-mir-548ar-5p 5
hsa-mir-21-5p 30207748
hsa-mir-4723-5p 1
hsa-mir-31-loop 939
hsa-mir-6859-4-3p 8
hsa-mir-941-4-5p 59
hsa-mir-939-loop 4
hsa-mir-1244-4-5p 1
hsa-mir-6762-3p 12
hsa-mir-548p-3p 603
hsa-mir-374b-3p 1215
hsa-mir-4639-5p 14
hsa-mir-203a-3p 93991
hsa-mir-93-3p 13511
hsa-mir-153-2-5p 475
hsa-mir-129-2-5p 35
hsa-mir-3126-3p 60
hsa-mir-10b-5p 95682
hsa-mir-188-loop 90
hsa-mir-130b-3p 18732
hsa-mir-148a-5p 2922
hsa-mir-125a-5p 351741
hsa-let-7g-loop 5
hsa-mir-509-1-5p 3
hsa-mir-3190-5p 3
hsa-mir-3199-2-5p 25
hsa-mir-675-5p 322
hsa-mir-27b-5p 2109
hsa-mir-3155a-5p 93
hsa-mir-654-5p 6
hsa-mir-3692-3p 10
hsa-mir-548c-5p 519
hsa-mir-664b-3p 101
hsa-mir-326-5p 8
hsa-mir-153-1-5p 9
hsa-mir-421-5p 35
hsa-mir-760-5p 19
hsa-mir-616-3p 290
hsa-mir-1843-loop 16
hsa-mir-4690-5p 12
hsa-mir-19a-5p 14
hsa-mir-2110-3p 911
hsa-mir-4525-3p 26
hsa-mir-128-2-3p 92524
hsa-mir-132-5p 2314
hsa-let-7g-5p 1028312
hsa-mir-6749-3p 5
hsa-mir-194-1-3p 3
hsa-mir-24-1-3p 324188
hsa-mir-3198-2-5p 4
hsa-mir-663a-loop 74
hsa-mir-543-3p 107
hsa-mir-4648-5p 6
hsa-mir-378f-3p 143
hsa-mir-6742-5p 4
hsa-mir-2467-5p 83
hsa-mir-548a-2-3p 119
hsa-mir-874-3p 77
hsa-mir-494-3p 211
hsa-mir-3960-3p 57
hsa-mir-3648-1-loop 14
hsa-mir-4661-5p 935
hsa-mir-9898-3p 390
hsa-mir-3145-5p 220
hsa-mir-4677-5p 37
hsa-mir-126-5p 21516
hsa-mir-5088-5p 7
hsa-mir-30c-1-5p 154538
hsa-mir-4470-5p 7
hsa-mir-3187-5p 39
hsa-mir-3913-1-5p 17
hsa-mir-6871-5p 25
hsa-mir-3667-5p 309
hsa-mir-548b-5p 293
hsa-mir-5690-3p 117
hsa-mir-509-3-5p 1
hsa-mir-429-5p 5
hsa-mir-2355-3p 3082
hsa-mir-5090-5p 97
hsa-mir-509-2-5p 3
hsa-mir-4726-5p 35
hsa-mir-4637-3p 23
hsa-mir-1913-3p 7
hsa-mir-1302-8-3p 3
hsa-mir-34b-3p 10
hsa-mir-212-3p 60
hsa-mir-106b-loop 322
hsa-mir-7-2-3p 2
hsa-mir-4498-5p 58
hsa-mir-4473-5p 156
hsa-mir-141-5p 1653
hsa-mir-6132-3p 21
hsa-mir-3116-1-5p 10
hsa-mir-6881-3p 186
hsa-mir-6827-5p 22
hsa-mir-339-3p 15084
hsa-mir-361-loop 7
hsa-mir-6724-1-5p 116
hsa-mir-141-3p 73965
hsa-mir-212-5p 438
hsa-mir-941-5-3p 1965
hsa-mir-3138-3p 110
hsa-mir-6734-5p 25
hsa-mir-197-loop 168
hsa-mir-4774-5p 37
hsa-mir-450a-1-5p 1691
hsa-mir-1185-1-3p 58
hsa-mir-4782-3p 11
hsa-mir-6732-3p 35
hsa-mir-3934-3p 8
hsa-mir-3130-2-5p 108
hsa-mir-200c-5p 766
hsa-mir-92b-loop 33
hsa-mir-548s-3p 500
hsa-mir-181b-1-3p 311
hsa-mir-663a-3p 307
hsa-mir-346-loop 1
hsa-mir-578-3p 13
hsa-mir-196a-2-5p 15801
hsa-mir-550a-2-3p 486
hsa-mir-548x-2-5p 5
hsa-mir-4731-3p 28
hsa-mir-412-5p 32
hsa-mir-6125-3p 2
hsa-mir-320a-loop 25
hsa-mir-3691-loop 6
hsa-mir-6777-5p 30
hsa-mir-3165-3p 11
hsa-mir-6816-3p 35
hsa-mir-4523-3p 4
hsa-mir-374b-loop 3
hsa-mir-6862-1-5p 5
hsa-mir-3157-3p 257
hsa-mir-3615-5p 13
hsa-mir-8086-loop 13
hsa-mir-6884-3p 4
hsa-mir-654-3p 152
hsa-let-7g-3p 290
hsa-mir-3138-5p 79
hsa-mir-3116-1-3p 29
hsa-mir-8485-3p 106
hsa-mir-4797-3p 115
hsa-mir-5701-3-5p 10
hsa-mir-4799-5p 9
hsa-mir-3143-loop 3
hsa-mir-153-2-loop 55
hsa-mir-5094-5p 1277
hsa-mir-576-3p 7329
hsa-mir-145-5p 22812
hsa-mir-1255b-1-5p 35
hsa-mir-563-loop 5
hsa-mir-369-3p 679
hsa-mir-149-3p 119
hsa-mir-148b-5p 2968
hsa-mir-4467-3p 11
hsa-mir-26b-3p 1242
hsa-mir-3135b-3p 1
hsa-mir-6859-2-5p 12
hsa-mir-1255a-3p 2557
hsa-mir-382-3p 85
hsa-mir-6875-5p 7
hsa-mir-579-3p 18
hsa-mir-548a-3-5p 135
hsa-mir-499b-3p 5
hsa-mir-135b-3p 1329
hsa-mir-4795-5p 2
hsa-mir-6770-2-5p 44
hsa-mir-3922-3p 64
hsa-mir-3142-5p 2
hsa-mir-6889-3p 7
hsa-let-7a-2-loop 1849
hsa-mir-181c-3p 835
hsa-mir-106b-3p 34049
hsa-mir-3678-5p 3
hsa-mir-2110-5p 1972
hsa-mir-4771-1-5p 13
hsa-mir-3158-2-5p 33
hsa-mir-548u-loop 2
hsa-mir-6779-5p 20
hsa-mir-103a-2-loop 36
hsa-mir-577-3p 118
hsa-mir-4267-3p 18
hsa-mir-100-3p 4141
hsa-mir-629-loop 18
hsa-mir-6854-5p 13
hsa-mir-584-3p 182
hsa-mir-3179-4-5p 43
hsa-mir-130a-5p 252
hsa-mir-28-3p 29266
hsa-mir-6861-5p 5
hsa-mir-4284-5p 5
hsa-mir-3191-loop 3
hsa-mir-3187-3p 764
hsa-mir-590-loop 621
hsa-mir-155-5p 1
hsa-mir-32-3p 8999
hsa-mir-122-5p 282
hsa-mir-4685-3p 113
hsa-mir-3619-3p 78
hsa-mir-6857-5p 2
hsa-mir-4710-loop 16
hsa-mir-221-3p 971319
hsa-mir-4642-5p 25
hsa-mir-24-1-5p 280
hsa-mir-663a-5p 46
hsa-mir-5581-5p 2
hsa-mir-1910-loop 15
hsa-mir-4423-5p 178
hsa-mir-642a-3p 517
hsa-mir-6862-1-3p 6
hsa-mir-548h-2-5p 1
hsa-mir-151a-loop 44
hsa-mir-9-1-3p 54426
hsa-mir-3137-5p 13
hsa-mir-5583-2-5p 4
hsa-mir-125b-2-3p 55
hsa-let-7d-5p 215149
hsa-mir-940-3p 2184
hsa-mir-1286-5p 62
hsa-let-7a-3-5p 521957
hsa-mir-3655-3p 6
hsa-let-7i-5p 510686
hsa-mir-5580-3p 229
hsa-mir-4706-5p 33
hsa-mir-199a-2-5p 62
hsa-mir-550a-1-3p 521
hsa-mir-3180-4-5p 4
hsa-mir-152-3p 1572
hsa-mir-3159-5p 123
hsa-mir-4635-3p 25
hsa-mir-572-3p 9
hsa-mir-552-5p 37
hsa-mir-15b-5p 226827
hsa-mir-935-5p 66
hsa-mir-4794-5p 19
hsa-mir-4479-5p 14
hsa-mir-551b-5p 38
hsa-mir-4739-5p 9
hsa-mir-3191-3p 3
hsa-mir-4745-3p 7
hsa-mir-1262-5p 441
hsa-mir-1236-5p 1
hsa-mir-365b-5p 32
hsa-mir-5701-1-5p 14
hsa-mir-642b-5p 16
hsa-mir-92a-2-5p 5
hsa-mir-3681-5p 1
hsa-mir-6735-5p 43
hsa-mir-1276-5p 540
hsa-mir-136-3p 7
hsa-mir-3135a-5p 9
hsa-mir-1-1-3p 4
hsa-mir-511-3p 10
hsa-mir-4271-3p 3
hsa-mir-18b-loop 1
hsa-mir-6770-1-loop 1
hsa-mir-15a-3p 63
hsa-mir-1180-5p 1144
hsa-mir-7854-5p 108
hsa-mir-559-5p 233
hsa-mir-6782-5p 4
hsa-mir-1228-3p 127
hsa-mir-943-5p 6
hsa-mir-3145-3p 211
hsa-mir-1288-3p 46
hsa-mir-320b-1-3p 2316
hsa-mir-1296-loop 53
hsa-mir-551a-3p 1651
hsa-mir-363-5p 13
hsa-mir-224-loop 24
hsa-mir-580-3p 169
hsa-mir-363-3p 1353
hsa-mir-425-3p 7211
hsa-mir-6738-3p 7
hsa-mir-125b-1-5p 573675
hsa-mir-5087-5p 26
hsa-mir-1249-3p 2737
hsa-mir-3622a-3p 6
hsa-mir-449b-3p 43
hsa-mir-4436b-1-5p 47
hsa-mir-708-loop 2
hsa-mir-485-5p 8
hsa-mir-595-3p 4
hsa-mir-7843-3p 8
hsa-mir-6815-3p 48
hsa-mir-143-5p 12
hsa-mir-550a-3-5p 267
hsa-mir-4768-5p 83
hsa-mir-615-3p 36901
hsa-mir-548h-1-5p 2
hsa-mir-6783-5p 16
hsa-mir-3127-3p 243
hsa-mir-570-3p 221
hsa-mir-30b-loop 181
hsa-mir-4795-3p 18
hsa-mir-138-2-3p 15
hsa-mir-9-1-5p 133724
hsa-mir-4722-3p 5
hsa-mir-1973-3p 1
hsa-mir-548x-5p 4
hsa-mir-10b-3p 724
hsa-mir-548k-3p 12
hsa-mir-6877-3p 8
hsa-mir-101-1-3p 296496
hsa-mir-6872-5p 4
hsa-mir-548aj-1-3p 9
hsa-mir-4701-5p 13
hsa-mir-6844-3p 19
hsa-mir-9985-5p 158
hsa-mir-34a-5p 141
hsa-mir-545-3p 31
hsa-mir-19b-2-5p 6
hsa-mir-22-5p 5174
hsa-mir-4738-5p 2
hsa-mir-4504-5p 2
hsa-mir-125b-2-5p 590622
hsa-mir-1252-5p 1505
hsa-mir-3158-2-3p 1125
hsa-mir-6514-5p 63
hsa-mir-668-5p 1
hsa-mir-3134-5p 20
hsa-mir-10a-loop 92
hsa-mir-2277-5p 1214
hsa-mir-3116-2-5p 3
hsa-mir-3180-1-3p 11
hsa-mir-597-5p 252
hsa-mir-1244-2-loop 2
hsa-mir-200c-3p 1073888
hsa-mir-187-5p 3
hsa-mir-429-loop 376
hsa-mir-4741-3p 55
hsa-mir-98-loop 7
hsa-mir-1323-5p 3
hsa-mir-92b-3p 154630
hsa-mir-7703-3p 8
hsa-mir-4421-3p 3
hsa-mir-4722-loop 21
hsa-mir-885-5p 173
hsa-mir-550b-1-3p 2
hsa-mir-548y-3p 32
hsa-mir-7854-3p 374
hsa-mir-4454-5p 44874
hsa-mir-3133-loop 2
hsa-mir-8072-3p 38
hsa-mir-6894-3p 14
hsa-mir-4502-3p 11
hsa-mir-4527-5p 23
hsa-mir-3652-5p 55
hsa-mir-548o-2-5p 523
hsa-mir-3672-3p 10
hsa-mir-3940-5p 37
hsa-mir-1343-5p 46
hsa-mir-19a-loop 71
hsa-mir-199a-1-3p 977
hsa-mir-3910-2-3p 10
hsa-mir-6125-5p 2
hsa-mir-133a-2-3p 5
hsa-mir-6895-3p 6
hsa-mir-548f-1-3p 1
hsa-mir-3152-5p 5
hsa-mir-3198-1-3p 2
hsa-mir-24-2-3p 322265
hsa-mir-4729-5p 3
hsa-mir-676-5p 65
hsa-mir-615-5p 34
hsa-mir-4422-3p 23
hsa-mir-3200-5p 474
hsa-mir-365b-3p 13845
hsa-mir-1226-5p 185
hsa-mir-138-1-5p 94
hsa-mir-3144-3p 38
hsa-mir-766-3p 712
hsa-mir-3177-3p 806
hsa-mir-4707-3p 385
hsa-mir-96-3p 745
hsa-mir-21-3p 98086
hsa-mir-106a-5p 1123
hsa-mir-18a-3p 5269
hsa-mir-1266-3p 27
hsa-mir-578-5p 26
hsa-mir-96-5p 97692
hsa-mir-942-3p 825
hsa-mir-3189-5p 23
hsa-mir-423-3p 205014
hsa-mir-127-3p 28
hsa-mir-561-5p 2756
hsa-mir-154-3p 145
hsa-mir-10395-loop 5
hsa-mir-203b-5p 26
hsa-mir-200b-5p 12884
hsa-mir-4765-3p 32
hsa-let-7a-2-5p 523990
hsa-mir-4782-5p 9
hsa-mir-6850-5p 40
hsa-mir-643-3p 528
hsa-mir-6805-5p 59
hsa-mir-4687-3p 5
hsa-mir-548i-4-5p 90
hsa-mir-548bc-3p 798
hsa-mir-3124-5p 3
hsa-mir-12114-5p 7
hsa-mir-4424-3p 13
hsa-mir-940-loop 16
hsa-mir-4697-5p 13
hsa-mir-183-loop 64
hsa-mir-12133-3p 6
hsa-mir-3911-5p 63
hsa-mir-3689e-5p 3
hsa-mir-340-3p 11443
hsa-mir-33b-3p 8683
hsa-mir-6851-5p 4
hsa-mir-4424-5p 16
hsa-mir-1302-2-3p 3
hsa-mir-4669-3p 17
hsa-mir-3065-5p 754
hsa-mir-127-5p 17
hsa-mir-1302-1-3p 3
hsa-mir-7975-3p 10
hsa-mir-4779-3p 34
hsa-mir-1250-5p 46
hsa-let-7f-2-5p 718190
hsa-mir-600-3p 50
hsa-mir-3928-3p 766
hsa-mir-6750-3p 6
hsa-mir-3942-3p 97
hsa-mir-548a-3-3p 120
hsa-mir-6728-5p 3
hsa-mir-5193-3p 13
hsa-mir-3143-5p 568
hsa-mir-6726-3p 36
hsa-mir-6761-3p 7
hsa-mir-6503-3p 11
hsa-mir-1275-5p 2636
hsa-mir-639-3p 15
hsa-mir-2116-3p 863
hsa-mir-5692c-1-3p 4
hsa-mir-5090-3p 13
hsa-mir-548aj-2-3p 9
hsa-mir-4787-3p 1231
hsa-mir-3188-3p 13
hsa-mir-9901-5p 133
hsa-mir-6818-3p 19
hsa-mir-1908-5p 333
hsa-mir-99b-5p 430741
hsa-mir-545-loop 34
hsa-mir-17-5p 170682
hsa-mir-3065-3p 134
hsa-mir-3917-3p 43
hsa-mir-149-5p 43873
hsa-mir-2278-loop 4
hsa-mir-3613-5p 11584
hsa-mir-30c-2-5p 159171
hsa-mir-6800-3p 53
hsa-mir-210-3p 6004
hsa-mir-4492-3p 9
hsa-mir-548ay-3p 996
hsa-mir-222-5p 3357
hsa-mir-4733-5p 6
hsa-mir-335-3p 34981
hsa-mir-326-loop 46
hsa-mir-6849-3p 11
hsa-mir-4709-5p 14
hsa-mir-1343-3p 771
hsa-mir-30e-3p 21198
hsa-mir-4660-5p 142
hsa-mir-6801-3p 12
hsa-mir-142-3p 229
hsa-mir-4512-5p 14
hsa-mir-484-5p 35094
hsa-mir-217-3p 3
hsa-mir-3158-1-5p 55
hsa-let-7e-5p 73404
hsa-mir-4727-3p 9
hsa-mir-4254-3p 21
hsa-mir-365a-5p 331
hsa-mir-199b-3p 999
hsa-mir-296-5p 92
hsa-mir-197-3p 48711
hsa-mir-8485-5p 60
hsa-mir-301a-3p 14311
hsa-mir-760-3p 458
hsa-mir-4799-3p 8
hsa-mir-548at-3p 62
hsa-mir-3121-3p 5
hsa-mir-548c-3p 6
hsa-mir-28-loop 71
hsa-mir-3689a-5p 3
hsa-mir-6724-2-3p 3
hsa-mir-4747-5p 25
hsa-mir-6728-3p 8
hsa-mir-6765-3p 14
hsa-mir-6859-3-5p 8
hsa-mir-2110-loop 3
hsa-mir-550a-3-3p 463
hsa-mir-6511b-1-3p 172
hsa-mir-548n-3p 96
hsa-mir-5580-5p 17
hsa-mir-5010-5p 16
hsa-mir-548f-3-3p 151
hsa-mir-219a-2-5p 6
hsa-mir-370-3p 13
hsa-mir-3677-loop 1
hsa-mir-130b-5p 44172
hsa-mir-3198-1-5p 3
hsa-mir-548h-3-3p 67
hsa-mir-216b-5p 6
hsa-mir-4753-3p 154
hsa-mir-4433b-5p 4
hsa-mir-4659a-3p 682
hsa-mir-548az-5p 95
hsa-mir-3919-5p 20
hsa-mir-586-5p 37
hsa-mir-6871-3p 12
hsa-mir-570-5p 53
hsa-mir-5692c-2-3p 7
hsa-mir-6765-5p 16
hsa-mir-1247-5p 3544
hsa-mir-4713-5p 442
hsa-mir-509-1-3p 2
hsa-mir-181b-2-3p 54
hsa-mir-4776-1-5p 4
hsa-mir-130a-3p 7658
hsa-mir-140-loop 61
hsa-mir-148a-3p 138668
hsa-mir-4662a-3p 1
hsa-mir-551b-3p 5
hsa-let-7e-3p 2504
hsa-mir-548am-5p 291
hsa-mir-3663-5p 11
hsa-mir-3690-2-5p 2
hsa-mir-6804-5p 22
hsa-mir-4788-5p 32
hsa-mir-1910-5p 1449
hsa-mir-548j-3p 47
hsa-mir-1248-3p 4
hsa-let-7a-1-5p 525890
hsa-mir-181b-2-5p 8745
hsa-mir-6838-5p 24
hsa-mir-548y-5p 7
hsa-mir-190b-5p 159
hsa-mir-3679-3p 14
hsa-mir-3667-3p 798
hsa-mir-6741-5p 7
hsa-mir-18b-3p 3
hsa-mir-3929-5p 1
hsa-mir-3200-3p 4947
hsa-mir-148a-loop 230
hsa-mir-377-3p 3
hsa-mir-659-5p 94
hsa-mir-1301-3p 18416
hsa-mir-323b-3p 7
hsa-mir-345-loop 14
hsa-mir-4671-5p 33
hsa-mir-6816-loop 5
hsa-mir-6846-3p 21
hsa-mir-6727-5p 7
hsa-mir-3929-3p 24
hsa-mir-551a-5p 146
hsa-mir-4653-5p 96
hsa-mir-4521-5p 45453
hsa-mir-4666a-5p 5
hsa-mir-3680-1-3p 16
hsa-mir-191-3p 5529
hsa-mir-1277-3p 395
hsa-mir-3133-5p 520
hsa-mir-6513-5p 7
hsa-mir-6736-3p 6
hsa-mir-126-3p 78280
hsa-mir-3064-3p 150
hsa-mir-3613-loop 35
hsa-mir-1285-1-3p 699
hsa-mir-6724-1-3p 4
hsa-mir-4644-3p 17
hsa-mir-196a-1-loop 25
hsa-mir-548ad-5p 187
hsa-mir-378e-3p 72
hsa-mir-302a-3p 311
hsa-mir-1243-5p 53
hsa-mir-4695-3p 11
hsa-mir-181d-5p 2056
hsa-mir-425-loop 2
hsa-mir-302c-5p 81
hsa-mir-3134-3p 63
hsa-mir-138-2-5p 79
hsa-mir-6724-4-5p 113
hsa-mir-30a-5p 749
hsa-mir-889-3p 47
hsa-mir-548aw-5p 37
hsa-mir-6513-3p 16
hsa-mir-324-5p 10117
hsa-mir-3937-5p 9
hsa-mir-4652-5p 183
hsa-mir-1227-3p 45
hsa-mir-509-3-3p 3
hsa-mir-548e-5p 121
hsa-mir-16-2-3p 33917
hsa-mir-5087-loop 11
hsa-mir-1233-2-3p 6
hsa-mir-6509-5p 10
hsa-mir-550a-2-5p 470
hsa-mir-6777-3p 13
hsa-mir-1276-3p 19
hsa-mir-664b-loop 10
hsa-mir-411-3p 66
hsa-mir-26b-5p 373641
hsa-mir-1181-5p 1
hsa-mir-4456-5p 2
hsa-mir-6511a-1-3p 136
hsa-mir-6740-5p 9
hsa-mir-941-1-loop 187
hsa-mir-10401-5p 37
hsa-mir-362-3p 4658
hsa-mir-3143-3p 145
hsa-mir-7106-5p 22
hsa-mir-6764-5p 53
hsa-mir-320d-2-3p 302
hsa-mir-6810-5p 11
hsa-mir-641-loop 1
hsa-mir-6784-3p 6
hsa-mir-5009-5p 60
hsa-mir-4640-3p 58
hsa-mir-548aq-3p 64
hsa-mir-375-5p 11
hsa-mir-3916-5p 21
hsa-mir-139-5p 2943
hsa-mir-6746-3p 9
hsa-mir-6500-3p 1
hsa-mir-3174-3p 9
hsa-mir-3178-5p 36
hsa-mir-548ae-2-5p 121
hsa-mir-4781-5p 3
hsa-mir-1244-2-5p 1
hsa-mir-5683-5p 19
hsa-mir-34a-loop 1
hsa-mir-4425-3p 173
hsa-mir-6511a-3-5p 74
hsa-mir-7111-3p 84
hsa-mir-5582-5p 1
hsa-mir-454-loop 2
hsa-mir-4512-3p 15
hsa-mir-542-3p 2718
hsa-mir-556-3p 1537
hsa-mir-6516-3p 133
hsa-mir-30e-loop 186
hsa-mir-627-3p 1711
hsa-mir-9898-loop 10
hsa-mir-548q-5p 491
hsa-mir-4749-loop 9
hsa-mir-374c-3p 2
hsa-mir-3179-1-5p 39
hsa-mir-1293-loop 39
hsa-mir-3935-3p 20
hsa-mir-337-3p 12
hsa-mir-652-loop 13
hsa-mir-499a-5p 472
hsa-mir-197-5p 65
hsa-mir-139-3p 200
hsa-mir-6780b-5p 13
hsa-mir-8072-5p 36
hsa-mir-6894-5p 19
hsa-mir-6089-2-5p 6
hsa-mir-194-2-3p 41
hsa-mir-3663-3p 32
hsa-mir-5696-3p 26
hsa-mir-205-5p 32
hsa-mir-6869-5p 14
hsa-mir-6770-1-3p 11
hsa-mir-149-loop 297
hsa-mir-545-5p 141
hsa-mir-6874-3p 11
hsa-mir-6873-3p 47
hsa-mir-25-loop 32
hsa-mir-1244-4-loop 5
hsa-mir-17-loop 72
hsa-mir-12131-3p 9
hsa-mir-6879-3p 24
hsa-mir-6800-5p 8
hsa-mir-452-3p 913
hsa-mir-4741-5p 5
hsa-mir-3183-5p 5
hsa-mir-7155-3p 16
hsa-mir-124-2-3p 7
hsa-mir-548at-5p 145
hsa-mir-449a-3p 23
hsa-mir-4470-3p 55
hsa-mir-4435-1-5p 107
hsa-mir-331-3p 18785
hsa-mir-5701-2-5p 7
hsa-mir-299-3p 18
hsa-mir-3688-1-3p 74
hsa-mir-6724-4-3p 2
hsa-mir-7108-5p 4
hsa-mir-6792-3p 4
hsa-mir-10527-3p 4
hsa-mir-330-5p 3123
hsa-mir-19a-3p 141931
hsa-mir-320e-3p 80
hsa-mir-193b-5p 442
hsa-mir-509-2-3p 3
hsa-mir-1278-3p 1581
hsa-mir-93-5p 752475
hsa-mir-548i-1-5p 108
hsa-mir-615-loop 49
hsa-mir-6820-5p 29
hsa-mir-4771-2-5p 12
hsa-mir-582-5p 14
hsa-mir-12135-3p 22
hsa-mir-4804-3p 308
hsa-mir-7974-3p 18187
hsa-mir-6862-2-5p 13
hsa-mir-3943-5p 67
hsa-mir-3675-3p 5
hsa-mir-548d-1-5p 1871
hsa-mir-9-3-5p 133258
hsa-mir-941-2-3p 2003
hsa-mir-15a-5p 21105
hsa-mir-6505-5p 170
hsa-mir-6715b-3p 32
hsa-mir-6881-5p 26
hsa-mir-548aa-1-3p 571
hsa-mir-3614-5p 231
hsa-mir-541-5p 2
hsa-mir-4687-5p 43
hsa-mir-3937-3p 4
hsa-mir-6892-5p 12
hsa-mir-556-5p 2162
hsa-mir-92a-1-loop 67
hsa-mir-6758-3p 9
hsa-mir-1244-3-5p 1
hsa-mir-5089-5p 63
hsa-mir-148b-3p 170813
hsa-mir-4700-3p 19
hsa-mir-3677-3p 23
hsa-mir-1266-5p 385
hsa-mir-5091-3p 12
hsa-mir-3691-3p 49
hsa-mir-4769-3p 33
hsa-mir-105-1-5p 29
hsa-mir-564-3p 9
hsa-mir-7851-3p 429
hsa-mir-708-5p 145
hsa-mir-6789-5p 1
hsa-mir-4785-3p 21
hsa-mir-6883-3p 46
hsa-mir-374a-5p 107297
hsa-mir-4722-5p 36
hsa-mir-29b-2-5p 1874
hsa-mir-1914-5p 153
hsa-mir-597-3p 363
hsa-mir-1273c-5p 351
hsa-mir-621-5p 1
hsa-mir-3129-3p 108
hsa-mir-4786-3p 15
hsa-mir-5699-5p 268
hsa-mir-6876-3p 9
hsa-mir-1293-5p 403
hsa-mir-6824-3p 12
hsa-mir-573-5p 1072
hsa-mir-4714-5p 16
hsa-mir-624-5p 2550
hsa-mir-3150a-5p 281
hsa-mir-11399-5p 1
hsa-mir-4775-3p 6
hsa-mir-6777-loop 7
hsa-mir-22-loop 7
hsa-mir-937-3p 240
hsa-mir-548ac-3p 34
hsa-mir-3680-1-5p 84
hsa-mir-6511a-3-3p 128
hsa-mir-1236-3p 22
hsa-mir-376a-2-3p 61
hsa-mir-93-loop 21
hsa-mir-142-loop 17
hsa-mir-6742-3p 24
hsa-mir-5189-5p 10
hsa-mir-5100-3p 8
hsa-mir-1976-3p 11
hsa-mir-642b-3p 8
hsa-mir-26a-2-3p 1692
hsa-mir-2355-5p 911
hsa-mir-6886-5p 16
hsa-mir-33a-3p 607
hsa-mir-3913-1-loop 6
hsa-mir-548i-2-5p 114
hsa-mir-7-1-loop 14
hsa-mir-4999-5p 38
hsa-mir-622-5p 10
hsa-mir-151a-5p 652176
hsa-mir-1301-loop 17
hsa-mir-5582-3p 565
hsa-let-7c-3p 7
hsa-mir-96-loop 267
hsa-mir-7156-5p 16
hsa-mir-4777-3p 15
hsa-mir-5689-3p 1
hsa-mir-449c-5p 1621
hsa-mir-4521-loop 56
hsa-mir-581-5p 64
hsa-mir-4802-5p 8
hsa-mir-5687-5p 1
hsa-mir-636-5p 12
hsa-mir-502-5p 660
hsa-mir-218-1-loop 1
hsa-mir-605-3p 121
hsa-mir-1257-5p 513
hsa-mir-877-3p 896
hsa-mir-3184-5p 2
hsa-mir-1258-3p 44
hsa-mir-6815-5p 59
hsa-mir-3196-5p 2
hsa-mir-500b-3p 69
hsa-let-7f-2-loop 210
hsa-let-7d-3p 36646
hsa-mir-628-loop 7
hsa-mir-3123-3p 2
hsa-mir-92a-2-3p 754111
hsa-mir-940-5p 27
hsa-mir-6511a-4-3p 133
hsa-mir-548aa-2-3p 546
hsa-mir-4772-3p 8
hsa-mir-4758-3p 101
hsa-mir-3609-loop 1
hsa-mir-3652-loop 2
hsa-mir-181b-1-5p 6461
hsa-mir-6824-5p 8
hsa-mir-7706-loop 11
hsa-mir-7704-5p 34
hsa-mir-421-3p 9766
hsa-mir-342-loop 41
hsa-mir-548e-3p 4943
hsa-mir-548au-5p 250
hsa-mir-6726-5p 5
