Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"E01",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",23.2,ddPCR Supermix for Probes (no dUTP),464,,,26.2,20.2,234,11741,,,,,,11975,,,,,,,,,,,,,,,,,,1,1,1336,4418.2,574.32,649.43,"",,,,24.7,21.7,,,,,,,,,,,,,
"E02",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",211,ddPCR Supermix for Probes (no dUTP),4220,,,219,202,2233,11385,,,,,,13618,,,,,,,,,,,,,,,,,,1,1,1393,4397.8,530.6,1164.7,"",,,,215.2,206.2,,,,,,,,,,,,,
"E03",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",60.5,ddPCR Supermix for Probes (no dUTP),1210,,,64.6,56.4,832,15771,,,,,,16603,,,,,,,,,,,,,,,,,,1,1,1011,3715.5,429.48,594.15,"",,,,62.6,58.4,,,,,,,,,,,,,
"E04",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",50.9,ddPCR Supermix for Probes (no dUTP),1018,,,54.7,47,682,15440,,,,,,16122,,,,,,,,,,,,,,,,,,1,1,1066,3717.2,447.19,585.52,"",,,,52.8,48.9,,,,,,,,,,,,,
"E05",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",35.7,ddPCR Supermix for Probes (no dUTP),714,,,38.8,32.6,514,16700,,,,,,17214,,,,,,,,,,,,,,,,,,1,1,964,3537.8,431.65,524.39,"",,,,37.2,34.1,,,,,,,,,,,,,
"F01",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",23.8,ddPCR Supermix for Probes (no dUTP),476,,,26.7,20.9,262,12816,,,,,,13078,,,,,,,,,,,,,,,,,,1,1,1238,4544.5,576,655.5,"",,,,25.3,22.3,,,,,,,,,,,,,
"F02",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",164,ddPCR Supermix for Probes (no dUTP),3280,,,172,155,1437,9635,,,,,,11072,,,,,,,,,,,,,,,,,,1,1,1373,4331,511.08,1006.9,"",,,,167.9,159.2,,,,,,,,,,,,,
"F03",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",32.4,ddPCR Supermix for Probes (no dUTP),648,,,35.2,29.6,509,18236,,,,,,18745,,,,,,,,,,,,,,,,,,1,1,1047,3683.7,420.49,509.1,"",,,,33.8,31,,,,,,,,,,,,,
"F04",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",35.9,ddPCR Supermix for Probes (no dUTP),718,,,39,32.8,507,16373,,,,,,16880,,,,,,,,,,,,,,,,,,1,1,1045,3663.6,436.02,532.96,"",,,,37.5,34.3,,,,,,,,,,,,,
"F05",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",34.4,ddPCR Supermix for Probes (no dUTP),688,,,37.3,31.5,533,17976,,,,,,18509,,,,,,,,,,,,,,,,,,1,1,989,3656.8,436.56,529.3,"",,,,35.9,32.9,,,,,,,,,,,,,
"G01",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",101,ddPCR Supermix for Probes (no dUTP),2020,,,107,95,1191,13263,,,,,,14454,,,,,,,,,,,,,,,,,,1,1,1351,4445.9,545.66,867.03,"",,,,104.1,98.2,,,,,,,,,,,,,
"G02",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",216,ddPCR Supermix for Probes (no dUTP),4320,,,226,207,2084,10324,,,,,,12408,,,,,,,,,,,,,,,,,,1,1,1384,4331.2,515.34,1156.2,"",,,,221.1,211.6,,,,,,,,,,,,,
"G03",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",86.2,ddPCR Supermix for Probes (no dUTP),1724,,,91,81.5,1257,16530,,,,,,17787,,,,,,,,,,,,,,,,,,1,1,1088,3881.2,426.68,670.81,"",,,,88.7,83.8,,,,,,,,,,,,,
"G04",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",33.5,ddPCR Supermix for Probes (no dUTP),670,,,36.5,30.5,480,16621,,,,,,17101,,,,,,,,,,,,,,,,,,1,1,961,3722.7,428.47,520.93,"",,,,35,32,,,,,,,,,,,,,
"G05",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",31.9,ddPCR Supermix for Probes (no dUTP),638,,,34.7,29.1,494,17975,,,,,,18469,,,,,,,,,,,,,,,,,,1,1,985,3689.8,417.98,505.49,"",,,,33.3,30.5,,,,,,,,,,,,,
"H01",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",93,ddPCR Supermix for Probes (no dUTP),1860,,,98,87,1146,13988,,,,,,15134,,,,,,,,,,,,,,,,,,1,1,1327,4374.1,529.57,820.7,"",,,,95.4,89.9,,,,,,,,,,,,,
"H02",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",204,ddPCR Supermix for Probes (no dUTP),4080,,,212,196,2542,13403,,,,,,15945,,,,,,,,,,,,,,,,,,1,1,1381,4406.8,501.42,1124,"",,,,208.4,200.3,,,,,,,,,,,,,
"H03",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",61.6,ddPCR Supermix for Probes (no dUTP),1232,,,65.5,57.6,946,17609,,,,,,18555,,,,,,,,,,,,,,,,,,1,1,1078,4059.4,434.82,619.61,"",,,,63.6,59.6,,,,,,,,,,,,,
"H04",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",48.3,ddPCR Supermix for Probes (no dUTP),966,,,51.8,44.8,729,17410,,,,,,18139,,,,,,,,,,,,,,,,,,1,1,1055,4008.3,445.79,588.97,"",,,,50,46.5,,,,,,,,,,,,,
"H05",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",32.7,ddPCR Supermix for Probes (no dUTP),654,,,35.6,29.9,523,18529,,,,,,19052,,,,,,,,,,,,,,,,,,1,1,1091,3895.4,427.1,522.31,"",,,,34.2,31.3,,,,,,,,,,,,,
