id	filename	md5	size	state
012c4bf5-c9f9-4b72-8ed8-4fc6477cab49	28b4f898-5e0f-4cde-be9a-4b7c047ab951.mirbase21.isoforms.quantification.txt	9cd218e0beb6d6d1f95e9ab4b21399ac	256516	validated
0133ac10-5125-4d2e-aee0-5424d6099443	66bb76c6-c613-4d5a-bc0c-df86a7382c1e.mirbase21.isoforms.quantification.txt	00faf581e2132c9002e7c2364044ac6b	384783	validated
0135d5e2-7291-4990-b57d-58d5e7d6f9fd	7d3477e3-5733-4ea0-a393-a0b9d1b48f2a.mirbase21.isoforms.quantification.txt	3573f16fe1e68d2b94f9a01ef37b7cdd	337953	validated
0140b4d1-a998-4a0b-8009-5365c238bf65	63905449-33f5-4140-bf0e-43bffb1ff079.mirbase21.isoforms.quantification.txt	19706990e2e129c96c652920f764927a	391988	validated
01447e1a-a1b2-40a1-a330-2134c9dc7c65	c98291b4-7f44-4f52-b863-87276eede020.mirnaseq.isoforms.quantification.txt	d4db70ba027b119971adb2ed4480e257	830114	validated
014b6284-c5ec-40ed-930a-c1b18b895bf9	aa190bc1-f337-4a01-a78b-8a5c154af701.mirbase21.isoforms.quantification.txt	7ea54b9cbad884c189eaa4fbbd72fcc2	425575	validated
01558681-c207-47ee-b958-a1c9c0b57016	6b97180b-c95a-44b1-9a02-47ced86a1f7e.mirbase21.mirnas.quantification.txt	4f146c88620397aae7e1a0794d0f0e4b	50535	validated
01560c8a-7b42-4279-ba9e-14b6c913a4c3	475a4f6f-707b-4819-b187-4f35082a1bae.mirnaseq.mirnas.quantification.txt	5a62aca50b110912991a5517d1a1453e	50652	validated
01586f03-fe69-4571-8059-a9b75b1c41db	e593b585-7d71-4988-8e7b-8a2e70010124.mirbase21.isoforms.quantification.txt	b7e381d6b391055f0a9114a9f707c5ad	301260	validated
015bf2f0-5598-41c7-8c4c-d1daf0c0089c	f1d8d0ab-f7fb-4c73-a7ea-bf7c63bb7028.mirbase21.isoforms.quantification.txt	f1840e857452861167aa2815d681635c	284740	validated
015cd260-1ed8-4c2a-bf83-11a88181ca6f	9e4301a1-1803-4a1d-b448-11b290616110.mirnaseq.isoforms.quantification.txt	83151a247377054d8a6d2d08191a94d8	821343	validated
01626fb9-a7f7-4324-97f2-ef2fee03f3c7	e7b7bf36-aa58-4dc0-8548-a28c11d5060f.mirbase21.mirnas.quantification.txt	52868e556d82f2508b61bd22a664d4f4	50114	validated
01670432-b4b4-4330-9aa2-860558f5aea5	c8eacb47-4062-40e1-9b9a-a6f8ff0c077e.mirbase21.isoforms.quantification.txt	57fca91a0b97fae1cb025f6fefc5e5ca	413216	validated
01680607-bae3-4724-b867-b18a142bd6b0	3379ba59-2f24-4fc6-90ca-d6aa6346491e.mirnaseq.mirnas.quantification.txt	c64864ec3f5ace386673b5eab3cc8be8	50739	validated
01698141-0c3a-46c3-b306-de92ceebe022	adecb0d7-ebb0-40e5-98dd-c6520fd7cb65.mirnaseq.mirnas.quantification.txt	f85e3fd68cfa1f44455e89968b80b889	50718	validated
016d8d33-c9a7-4f21-9303-6e293aeea147	dd70a2b9-5f61-492a-a5b2-15051417e279.mirnaseq.mirnas.quantification.txt	97e23fbea1a142d27aba267264faf4c7	50702	validated
01804ca1-8b25-487d-8dea-0ec8a4c4d9e5	b4d78278-81c9-4bab-855d-dc8824f0dcf1.mirbase21.isoforms.quantification.txt	7ef8555089f6336b94afe87c3d939d9f	274230	validated
018622e7-b85b-4423-b174-48b6b8eb8ed9	61dee219-431d-4104-ae12-119c2c20b64d.mirnaseq.mirnas.quantification.txt	5eb25bc3bdb6ebf427ad9203f08dc92f	50622	validated
019be69a-c04b-4c5d-b0aa-e485931228c0	b5798e8d-dad0-40eb-bdc7-c0e1997b8547.mirbase21.mirnas.quantification.txt	4a2bbcefb31b29b5e51df2d4a201d0c1	50133	validated
019e72b4-ad10-4aa5-a110-5d1c0105676e	790380d2-d59f-43b9-8825-3a58bf336ae8.mirbase21.mirnas.quantification.txt	c462f987e55a59e2ff5478cc29443a46	50230	validated
01aa4e23-5399-491e-98c7-9465e6cd4021	97f89216-7155-4125-8743-9dfa065f18a9.mirbase21.mirnas.quantification.txt	67ee065d9e46f38658d48fca5513d2a7	50364	validated
01af3640-0036-4c6b-9d71-6d241d375907	d3c4a9cf-95c5-4df0-b9a7-c32d6d6a8816.mirbase21.isoforms.quantification.txt	a760d728d761643e3078426a136ba1a7	405451	validated
01c1aca9-5756-4f03-b45c-cba47c8c8d75	c0bf9858-518b-49a0-8309-2a1a56ca0cfa.mirbase21.mirnas.quantification.txt	096d0fd3808eee3e8ff8a3d6ce9e9749	50221	validated
01c3144c-7028-400f-b15e-849521a58711	a9e5a5d7-7ef7-45f7-a324-fd63dcea7dae.mirbase21.isoforms.quantification.txt	75b1a8e1cc7d37e2399c1dd0b34298f0	316995	validated
01c52bfc-b661-4fa9-badb-b47b62e27187	94f7a01d-d18d-4cc9-92eb-62224085b278.mirbase21.mirnas.quantification.txt	899461b10266c2e76c750adb89a22842	50243	validated
01c5441a-5073-41f9-85fe-c49259e472c3	784a8ad2-9bba-4a9f-a959-46a00e87308a.mirnaseq.isoforms.quantification.txt	d1e8a6392aea1f89b53bb73a42c83ec3	840375	validated
01d2a791-4d76-4e29-9118-e095376acb5e	865f8168-24a0-46b7-ae90-acf6fcc63850.mirnaseq.isoforms.quantification.txt	be1dcb44a8f85f2dd646ee0dccd68800	918850	validated
01dc2136-85dc-4779-8f26-9fc63e76dcff	c23b2977-6d56-455f-8e55-cb4d2ef778d7.mirnaseq.isoforms.quantification.txt	5f5b628b81b707c7658de6521605c163	922832	validated
01e18cae-c606-40c2-a1f7-f14063c2b62d	9f056d34-77f0-42a9-9b08-efaaebb2b03c.mirbase21.isoforms.quantification.txt	3a0610f9fd7bb57e924967d1d018913a	312916	validated
01e3d493-7e2a-4a50-b8cb-2597143a8e1a	63d7ceb1-b280-43a0-8f19-02fb6dfba18c.mirnaseq.mirnas.quantification.txt	2bf895e15c9baea5ce1656478a502f41	50790	validated
01eeaa10-cf46-4261-a2e1-f095873d1a68	9bcbbd03-cf29-4474-840d-1d3acbe85da8.mirbase21.isoforms.quantification.txt	d9a9e549f9f14919a253a6d7087158b2	308952	validated
01f532e1-8254-4da3-95db-7bb469414131	bc45957d-3983-4030-97dd-13d898f1c329.mirbase21.mirnas.quantification.txt	6de3f63ba50b87e8b99a6fe697de859a	50254	validated
01f6ae2f-65d2-4f43-8ccf-5a8237d24df4	45baf7c4-48dd-4edf-9109-3424a82e5193.mirnaseq.mirnas.quantification.txt	0cffcaf8b0b4d6c135034946820fcc59	50687	validated
02036944-7cc2-422e-9659-b3a208cf036a	ad7dc215-9e33-4644-9711-aa5ef0eecd8e.mirbase21.mirnas.quantification.txt	a3a7def21566cb7d781b21ba0b814b40	50054	validated
0231472c-49c5-4d8d-9f44-af5e2af66f9d	25ba76d6-c826-41e0-ae98-246a82bb1a6e.mirbase21.mirnas.quantification.txt	bd552e2f55e6fdc3fa6e3ae633ce8b4a	50102	validated
023ab2de-ae1b-4335-a8ca-39b2677a3046	33470e98-a905-49ad-9a99-462ab1ca7e14.mirbase21.mirnas.quantification.txt	c30742a7880f08a73dbf77265ae8f761	50050	validated
024711e5-cfff-4470-a41f-fce72cc5f47b	465fcb7c-54fa-4a4a-8da4-17c7a22d82dc.mirnaseq.mirnas.quantification.txt	a43ae3258060185e00b4cb5b347164b9	50725	validated
02762026-2182-4a89-a594-c123eb7d92e2	c367a760-acc2-489b-a246-623103a2041a.mirbase21.isoforms.quantification.txt	224a3944a58f2c23a14bc50536839ac5	348161	validated
027c27c5-bf83-4edc-abc5-f65ac8b15f3c	5cdb39e1-1c39-45d4-ae2f-17d4e5ae0b07.mirbase21.isoforms.quantification.txt	6c361f34673975de76d2bcb61aa7fd51	342394	validated
0281909e-933d-431a-b728-c606fe9e2f18	97ce7ad1-4b76-4a20-9b28-305dfa8f51c0.mirbase21.isoforms.quantification.txt	03dcdbb37d241b48de56cf968ac76415	334969	validated
02871cb4-f97c-4d34-be0d-97b0ced290bd	daa144f1-1004-4727-b8c0-72b5f64f8c44.mirbase21.mirnas.quantification.txt	9dc38cea8291a7f8a7e681ae6cabdd35	50245	validated
02aa1cc4-ebb0-415f-b6be-093b1c726887	d33c8be5-34b6-4a09-a5fc-7ad338685223.mirbase21.mirnas.quantification.txt	ae72433a013f1884e522f524d62dd2b6	50319	validated
02d3afe4-1079-4533-8677-6f98d1947b1e	6fd34949-37c5-40c2-bc90-28d322c8fbad.mirbase21.isoforms.quantification.txt	cfe02c173f3a8330fab1f1995ded848b	310531	validated
