Sample SRX_accession_number SRX_UID SRR_accession_number
Spleen_6 SRX4659006 6289807 SRR10695968
Spleen_6 SRX4659006 6289807 SRR7807309
Spleen_5 SRX4659005 6289806 SRR10695967
Spleen_5 SRX4659005 6289806 SRR7807308
Spleen_4 SRX4659004 6289805 SRR7807307
Spleen_4 SRX4659004 6289805 SRR10695966
Spleen_3 SRX4659003 6289804 SRR7807306
Spleen_3 SRX4659003 6289804 SRR10695965
Spleen_2 SRX4659002 6289803 SRR7807305
Spleen_2 SRX4659002 6289803 SRR10695964
Spleen_1 SRX4659001 6289802 SRR10695963
Spleen_1 SRX4659001 6289802 SRR7807304
Spleen_14 SRX4659000 6289801 SRR7807303
Spleen_14 SRX4659000 6289801 SRR10695962
Spleen_13 SRX4658999 6289800 SRR7807302
Spleen_13 SRX4658999 6289800 SRR10695961
Spleen_12 SRX4658998 6289799 SRR7807301
Spleen_12 SRX4658998 6289799 SRR10695960
Spleen_11 SRX4658997 6289798 SRR7807300
Spleen_11 SRX4658997 6289798 SRR10695959
Spleen_10 SRX4658996 6289797 SRR10695958
Spleen_10 SRX4658996 6289797 SRR7807299
Pancreas_9 SRX4658995 6289796 SRR10695957
Pancreas_9 SRX4658995 6289796 SRR7807298
Pancreas_8 SRX4658994 6289795 SRR7807297
Pancreas_8 SRX4658994 6289795 SRR10695956
Pancreas_7 SRX4658993 6289794 SRR10695955
Pancreas_7 SRX4658993 6289794 SRR7807296
Pancreas_6 SRX4658992 6289793 SRR7807295
Pancreas_6 SRX4658992 6289793 SRR10695954
Pancreas_5 SRX4658991 6289792 SRR7807294
Pancreas_5 SRX4658991 6289792 SRR10695953
Pancreas_4 SRX4658990 6289791 SRR7807293
Pancreas_4 SRX4658990 6289791 SRR10695952
Pancreas_3 SRX4658989 6289790 SRR10695951
Pancreas_3 SRX4658989 6289790 SRR7807292
Pancreas_2 SRX4658988 6289789 SRR7807291
Pancreas_2 SRX4658988 6289789 SRR10695950
Pancreas_1 SRX4658987 6289788 SRR10695949
Pancreas_1 SRX4658987 6289788 SRR7807290
Pancreas_14 SRX4658986 6289787 SRR10695948
Pancreas_14 SRX4658986 6289787 SRR7807289
Pancreas_13 SRX4658985 6289786 SRR7807288
Pancreas_13 SRX4658985 6289786 SRR10695947
Pancreas_12 SRX4658984 6289785 SRR10695946
Pancreas_12 SRX4658984 6289785 SRR7807287
Pancreas_11 SRX4658983 6289784 SRR7807286
Pancreas_11 SRX4658983 6289784 SRR10695945
Muscle_9 SRX4658982 6289783 SRR7807285
Muscle_9 SRX4658982 6289783 SRR10695944
Muscle_8 SRX4658981 6289782 SRR10695943
Muscle_8 SRX4658981 6289782 SRR7807284
Muscle_7 SRX4658980 6289781 SRR10695942
Muscle_7 SRX4658980 6289781 SRR7807283
Muscle_6 SRX4658979 6289780 SRR7807282
Muscle_6 SRX4658979 6289780 SRR10695941
Muscle_5 SRX4658978 6289779 SRR7807281
Muscle_5 SRX4658978 6289779 SRR10695940
Muscle_4 SRX4658977 6289778 SRR10695939
Muscle_4 SRX4658977 6289778 SRR7807280
Muscle_3 SRX4658976 6289777 SRR10695938
Muscle_3 SRX4658976 6289777 SRR7807279
Muscle_2 SRX4658975 6289776 SRR10695937
Muscle_2 SRX4658975 6289776 SRR7807278
Muscle_1 SRX4658974 6289775 SRR7807277
Muscle_1 SRX4658974 6289775 SRR10695936
Muscle_14 SRX4658973 6289774 SRR7807276
Muscle_14 SRX4658973 6289774 SRR10695935
Muscle_13 SRX4658972 6289773 SRR10695934
Muscle_13 SRX4658972 6289773 SRR7807275
Muscle_12 SRX4658971 6289772 SRR7807274
Muscle_12 SRX4658971 6289772 SRR10695933
Muscle_11 SRX4658970 6289771 SRR10695932
Muscle_11 SRX4658970 6289771 SRR7807273
Muscle_10 SRX4658969 6289770 SRR7807272
Muscle_10 SRX4658969 6289770 SRR10695931
Lung_9 SRX4658968 6289769 SRR7807271
Lung_9 SRX4658968 6289769 SRR10695930
Lung_8 SRX4658967 6289768 SRR7807270
Lung_8 SRX4658967 6289768 SRR10695929
Lung_7 SRX4658966 6289767 SRR10695928
Lung_7 SRX4658966 6289767 SRR7807269
Lung_6 SRX4658965 6289766 SRR7807268
Lung_6 SRX4658965 6289766 SRR10695927
Lung_5 SRX4658964 6289765 SRR10695926
Lung_5 SRX4658964 6289765 SRR7807267
Lung_4 SRX4658963 6289764 SRR7807266
Lung_4 SRX4658963 6289764 SRR10695925
Lung_3 SRX4658962 6289763 SRR7807265
Lung_3 SRX4658962 6289763 SRR10695924
Lung_2 SRX4658961 6289762 SRR10695923
Lung_2 SRX4658961 6289762 SRR7807264
Lung_1 SRX4658960 6289761 SRR7807263
Lung_1 SRX4658960 6289761 SRR10695922
Lung_14 SRX4658959 6289760 SRR7807262
Lung_14 SRX4658959 6289760 SRR10695921
Lung_13 SRX4658958 6289759 SRR10695920
Lung_13 SRX4658958 6289759 SRR7807261
Lung_12 SRX4658957 6289758 SRR7807260
Lung_12 SRX4658957 6289758 SRR10695919
Lung_11 SRX4658956 6289757 SRR10695918
Lung_11 SRX4658956 6289757 SRR7807259
Liver_9 SRX4658955 6289756 SRR7807258
Liver_9 SRX4658955 6289756 SRR10695917
Liver_8 SRX4658954 6289755 SRR7807257
Liver_8 SRX4658954 6289755 SRR10695916
Liver_7 SRX4658953 6289754 SRR7807256
Liver_7 SRX4658953 6289754 SRR10695915
Liver_6 SRX4658952 6289753 SRR7807255
Liver_6 SRX4658952 6289753 SRR10695914
Liver_5 SRX4658951 6289752 SRR7807254
Liver_5 SRX4658951 6289752 SRR10695913
Liver_4 SRX4658950 6289751 SRR7807253
Liver_4 SRX4658950 6289751 SRR10695912
Liver_3 SRX4658949 6289750 SRR10695911
Liver_3 SRX4658949 6289750 SRR7807252
Liver_2 SRX4658948 6289749 SRR7807251
Liver_2 SRX4658948 6289749 SRR10695910
Liver_1 SRX4658947 6289748 SRR7807250
Liver_1 SRX4658947 6289748 SRR10695909
Liver_14 SRX4658946 6289747 SRR7807249
Liver_14 SRX4658946 6289747 SRR10695908
Liver_13 SRX4658945 6289746 SRR10695907
Liver_13 SRX4658945 6289746 SRR7807248
Liver_12 SRX4658944 6289745 SRR7807247
Liver_12 SRX4658944 6289745 SRR10695906
Liver_11 SRX4658943 6289744 SRR7807246
Liver_11 SRX4658943 6289744 SRR10695905
Liver_10 SRX4658942 6289743 SRR7807245
Liver_10 SRX4658942 6289743 SRR10695904
Kidney_9 SRX4658941 6289742 SRR7807244
Kidney_9 SRX4658941 6289742 SRR10695903
Kidney_8 SRX4658940 6289741 SRR10695902
Kidney_8 SRX4658940 6289741 SRR7807243
Kidney_7 SRX4658939 6289740 SRR7807242
Kidney_7 SRX4658939 6289740 SRR10695901
Kidney_6 SRX4658938 6289739 SRR10695900
Kidney_6 SRX4658938 6289739 SRR7807241
Kidney_5 SRX4658937 6289738 SRR7807240
Kidney_5 SRX4658937 6289738 SRR10695899
Kidney_4 SRX4658936 6289737 SRR7807239
Kidney_4 SRX4658936 6289737 SRR10695898
Kidney_3 SRX4658935 6289736 SRR7807238
Kidney_3 SRX4658935 6289736 SRR10695897
Kidney_2 SRX4658934 6289735 SRR7807237
Kidney_2 SRX4658934 6289735 SRR10695896
