Library Number_of_genomic_reads
SRR10662085 2760951
SRR10662084 4193340
SRR10662083 3643573
SRR7807372 8146469
SRR10696028 4649604
SRR7807371 1742706
SRR10696027 704607
SRR10696026 79949
SRR7807370 208885
SRR7807369 241460
SRR10696025 95204
SRR7807368 1083023
SRR10696024 425365
SRR10696023 5072416
SRR7807367 9220546
SRR7807366 3346596
SRR10696022 2047314
SRR7807365 2601349
SRR10696021 1483792
SRR10696020 2404078
SRR7807364 4025442
SRR10696019 2721274
SRR7807363 3971710
SRR7807362 2316384
SRR10696018 1663573
SRR10696017 3175304
SRR7807361 5100891
SRR7807360 4684636
SRR10696016 2728971
SRR10696015 4513113
SRR7807359 7473445
SRR10696014 2664644
SRR7807358 4521224
SRR7807357 1605723
SRR10696013 573422
SRR10696012 209133
SRR7807356 566376
SRR7807355 3987467
SRR10696011 2425233
SRR10696010 2711502
SRR7807354 4681392
SRR10696009 1155101
SRR7807353 1960551
SRR7807352 2772542
SRR10696008 1626613
SRR7807351 2486560
SRR10696007 1441088
SRR7807350 2749385
SRR10696006 1632882
SRR10696005 2539446
SRR7807349 4293830
SRR7807348 4492407
SRR10696004 2694154
SRR10696003 1916957
SRR7807347 3202108
SRR10696002 1791042
SRR7807346 3063089
SRR7807345 3366654
SRR10696001 1234727
SRR10696000 482756
SRR7807344 1260816
SRR7807343 6929728
SRR10695999 2572032
SRR10695998 2185011
SRR7807342 5911930
SRR10695997 1306304
SRR7807341 2103823
SRR7807340 1974372
SRR10695996 1205126
SRR10695995 1256676
SRR7807339 2050766
SRR7807338 2808842
SRR10695994 1707070
SRR10695993 2647618
SRR7807337 4307115
SRR10695992 3836103
SRR7807336 6221890
SRR7807335 4090419
SRR10695991 2576836
SRR7807334 3434022
SRR10695990 2137899
SRR7807333 4244042
SRR10695989 2609618
SRR7807332 1826322
SRR10695988 684345
SRR7807331 661032
SRR10695987 243446
SRR10695986 65965
SRR7807330 178885
SRR7807329 12171
SRR10695985 4371
SRR7807328 350127
SRR10695984 204683
SRR7807327 4748058
SRR10695983 2756427
SRR7807326 4872049
SRR10695982 2864421
SRR10695981 2780750
SRR7807325 4756822
SRR10695980 1301501
SRR7807324 2248489
SRR10695979 1373955
SRR7807323 2350508
SRR7807322 5460520
SRR10695978 3223989
SRR10695977 2408221
SRR7807321 4081789
SRR7807320 1381815
SRR10695976 835852
SRR7807319 1824350
SRR10695975 1134885
SRR10695974 903384
SRR7807318 2474165
SRR7807317 3518313
SRR10695973 1306797
SRR7807316 3978965
SRR10695972 1462517
SRR7807315 7003103
SRR7807314 10685751
SRR7807313 9345397
SRR7807312 3373589
SRR10695971 1620156
SRR7807311 6987738
SRR10695970 3267801
SRR10695969 2414123
SRR7807310 5080114
SRR10695968 1733992
SRR10695896 3089308
SRR10695897 3546412
SRR10695898 4981263
SRR10695899 4461864
SRR10695900 3120971
SRR10695901 4750203
SRR10695902 4355778
SRR10695903 3955915
SRR10695904 1023848
SRR10695905 244280
SRR10695906 74327
SRR10695907 80636
SRR10695908 237420
SRR10695909 954779
SRR10695910 127442
SRR10695911 7751
SRR10695912 5027008
SRR10695913 22255
SRR10695914 812556
SRR10695915 809370
SRR10695916 1113412
SRR10695917 1396681
SRR10695918 4171700
SRR10695919 4608136
SRR10695920 5776614
SRR10695921 4682326
SRR10695922 4039992
SRR10695923 3492436
SRR10695924 4569922
SRR10695925 2288309
SRR10695926 4214759
SRR10695927 1472667
SRR10695928 2566553
SRR10695929 3730592
SRR10695930 2123605
SRR10695931 1072545
SRR10695932 4027140
SRR10695933 4936034
SRR10695934 566878
SRR10695935 4859561
SRR10695936 3160129
SRR10695937 1966713
SRR10695938 4645644
SRR10695939 3071872
SRR10695940 3161699
SRR10695941 899203
SRR10695942 1953321
SRR10695943 1332048
SRR10695944 1031182
SRR10695945 2337754
SRR10695946 21209
SRR10695947 7640
SRR10695948 124
SRR10695949 69001
SRR10695950 90777
SRR10695951 18419
SRR10695952 27273
SRR10695953 312952
SRR10695954 50575
SRR10695955 235408
SRR10695956 226306
SRR10695957 15205
SRR10695958 3861144
SRR10695959 482751
SRR10695960 2067987
SRR10695961 1075494
SRR10695962 1728539
SRR10695963 2746980
SRR10695964 1354777
SRR10695965 3078224
SRR10695966 3833368
SRR10695967 2947047
SRR7807237 5675107
SRR7807238 6363329
SRR7807239 8994639
SRR7807240 8041791
SRR7807241 5615419
SRR7807242 8796713
SRR7807243 7862989
SRR7807244 7156088
SRR7807245 2174517
SRR7807246 679179
SRR7807247 205901
SRR7807248 238458
SRR7807249 666435
SRR7807250 2046394
SRR7807251 273841
SRR7807252 16159
SRR7807253 10586141
SRR7807254 48639
SRR7807255 1728313
SRR7807256 1694770
SRR7807257 2374074
SRR7807258 2988543
SRR7807259 11180786
SRR7807260 12544075
SRR7807261 15523146
SRR7807262 12297416
SRR7807263 8155444
SRR7807264 7008572
SRR7807265 9314884
SRR7807266 4659929
SRR7807267 8739949
SRR7807268 2932841
SRR7807269 5252043
SRR7807270 7613056
SRR7807271 4341018
SRR7807272 1829817
SRR7807273 10932121
SRR7807274 13685185
SRR7807275 1461512
SRR7807276 13139845
SRR7807277 5346797
SRR7807278 3306914
SRR7807279 7862796
SRR7807280 5189442
SRR7807281 5301976
SRR7807282 1524472
SRR7807283 3348472
SRR7807284 2251476
SRR7807285 1725985
SRR7807286 7891
SRR7807287 57672
SRR7807288 21171
SRR7807289 528
SRR7807290 150925
SRR7807291 191083
SRR7807292 38371
SRR7807293 57770
SRR7807294 654967
SRR7807295 109642
SRR7807296 508680
SRR7807297 488031
SRR7807298 33679
SRR7807299 8076174
SRR7807300 1306764
SRR7807301 5604645
SRR7807302 2929556
SRR7807303 4642481
SRR7807304 5765073
SRR7807305 2894481
SRR7807306 6514011
SRR7807307 8068724
SRR7807308 6205752
SRR7807309 3595430
