miRNA Number_of_reads
hsa-mir-143-3p 20867
hsa-mir-6720-3p 5
hsa-mir-320b-1-3p 3184
hsa-mir-12136-loop 19
hsa-mir-1285-2-3p 713
hsa-mir-1914-3p 68
hsa-mir-195-3p 188
hsa-mir-6846-3p 32
hsa-mir-5684-3p 46
hsa-mir-12114-5p 13
hsa-mir-4497-3p 1
hsa-mir-12129-3p 10
hsa-mir-4779-5p 35
hsa-mir-4440-5p 29
hsa-mir-551a-5p 301
hsa-mir-654-5p 15
hsa-mir-7856-5p 10
hsa-let-7f-1-loop 137
hsa-mir-5003-3p 10
hsa-mir-1285-1-5p 1175
hsa-mir-92a-1-3p 1237537
hsa-mir-2276-3p 280
hsa-mir-545-5p 312
hsa-mir-548am-5p 265
hsa-mir-9-1-5p 134728
hsa-mir-4799-5p 25
hsa-mir-3655-5p 14
hsa-mir-760-3p 657
hsa-mir-191-5p 978247
hsa-mir-3928-5p 40
hsa-mir-382-3p 43
hsa-mir-5582-3p 818
hsa-mir-6509-3p 91
hsa-mir-577-3p 198
hsa-mir-6823-loop 1
hsa-mir-3661-5p 31
hsa-mir-4672-5p 29
hsa-mir-30d-5p 1412646
hsa-mir-6881-3p 180
hsa-mir-6765-3p 44
hsa-mir-941-4-3p 2601
hsa-mir-4662a-5p 38
hsa-mir-584-3p 458
hsa-mir-339-loop 778
hsa-mir-224-5p 25216
hsa-mir-4787-5p 19
hsa-mir-5187-5p 4
hsa-mir-30d-3p 1104
hsa-mir-25-loop 5
hsa-mir-6782-3p 13
hsa-mir-147b-5p 405
hsa-mir-454-3p 52562
hsa-mir-367-3p 98
hsa-mir-1289-1-5p 8
hsa-mir-9851-5p 6
hsa-mir-3120-loop 6
hsa-mir-450b-5p 1707
hsa-mir-6758-5p 11
hsa-mir-1302-4-3p 3
hsa-mir-3651-3p 60
hsa-mir-6759-5p 11
hsa-mir-3682-5p 13
hsa-mir-548au-5p 209
hsa-mir-6773-3p 10
hsa-mir-3116-2-3p 15
hsa-mir-4676-5p 69
hsa-mir-655-3p 126
hsa-mir-4655-5p 6
hsa-mir-1273h-5p 13
hsa-let-7b-loop 77
hsa-mir-6511a-4-5p 59
hsa-mir-3170-3p 68
hsa-mir-340-3p 11860
hsa-mir-30c-1-3p 861
hsa-mir-4785-3p 4
hsa-mir-4791-5p 833
hsa-mir-3184-5p 13
hsa-mir-3145-loop 7
hsa-mir-10b-3p 658
hsa-mir-3202-2-3p 4
hsa-mir-1244-1-loop 1
hsa-mir-6501-5p 148
hsa-mir-3188-3p 6
hsa-mir-6730-5p 13
hsa-mir-10401-5p 44
hsa-mir-3913-2-3p 4
hsa-mir-10523-5p 185
hsa-mir-3133-5p 809
hsa-mir-6869-5p 21
hsa-let-7a-1-loop 648
hsa-mir-3159-loop 10
hsa-let-7d-3p 45447
hsa-mir-1-1-3p 22
hsa-mir-556-3p 956
hsa-mir-6821-5p 7
hsa-mir-3941-3p 122
hsa-mir-18a-5p 125672
hsa-mir-4456-5p 1
hsa-mir-6735-3p 76
hsa-mir-3175-5p 48
hsa-mir-4797-3p 144
hsa-mir-4676-3p 355
hsa-mir-27b-3p 288238
hsa-mir-204-5p 994
hsa-mir-6781-5p 5
hsa-mir-3912-3p 294
hsa-mir-3134-5p 47
hsa-mir-30e-3p 29134
hsa-mir-508-5p 6
hsa-mir-1233-2-3p 19
hsa-mir-3909-3p 1489
hsa-mir-3939-5p 37
hsa-mir-1185-1-3p 13
hsa-mir-941-4-5p 83
hsa-mir-375-5p 1
hsa-mir-6895-5p 16
hsa-mir-450a-2-5p 1090
hsa-mir-629-3p 1416
hsa-mir-6851-3p 11
hsa-mir-1305-3p 7
hsa-mir-345-3p 80
hsa-mir-212-5p 313
hsa-mir-548u-5p 11
hsa-mir-154-3p 116
hsa-mir-302a-3p 300
hsa-mir-1180-3p 31457
hsa-mir-548q-3p 1
hsa-mir-4663-3p 5
hsa-mir-4786-3p 7
hsa-mir-16-2-3p 41815
hsa-mir-3177-3p 1144
hsa-mir-3150a-5p 351
hsa-mir-548v-3p 373
hsa-mir-26a-1-5p 504496
hsa-mir-5583-1-3p 47
hsa-mir-1228-3p 155
hsa-mir-5699-5p 469
hsa-mir-941-3-loop 294
hsa-mir-598-5p 2
hsa-mir-548o-3p 1371
hsa-mir-500a-3p 14806
hsa-mir-181a-1-5p 19712
hsa-mir-2355-3p 4533
hsa-mir-628-3p 1040
hsa-mir-15b-5p 300945
hsa-mir-4672-3p 82
hsa-mir-3190-3p 101
hsa-mir-6823-3p 11
hsa-mir-7845-5p 12
hsa-mir-636-3p 550
hsa-mir-32-3p 9991
hsa-mir-3199-1-3p 4
hsa-mir-6516-3p 312
hsa-mir-616-5p 2556
hsa-mir-1244-1-3p 5
hsa-mir-138-2-3p 16
hsa-mir-330-5p 4790
hsa-mir-5584-5p 29
hsa-mir-4444-2-3p 9
hsa-mir-3659-5p 3
hsa-mir-3181-5p 12
hsa-mir-1262-5p 423
hsa-mir-29b-2-loop 51
hsa-mir-147b-3p 180
hsa-mir-6724-1-5p 192
hsa-mir-6816-3p 43
hsa-mir-130a-loop 2
hsa-mir-501-3p 15522
hsa-mir-1249-5p 10
hsa-mir-1910-3p 293
hsa-mir-4741-5p 24
hsa-mir-1307-loop 100
hsa-mir-10395-3p 145
hsa-mir-190a-3p 37
hsa-mir-3064-3p 88
hsa-mir-4691-3p 38
hsa-mir-5092-3p 48
hsa-mir-1237-3p 32
hsa-mir-4433b-3p 13
hsa-mir-9901-5p 245
hsa-mir-10526-3p 30
hsa-mir-4521-3p 192
hsa-mir-330-loop 47
hsa-mir-4669-3p 46
hsa-mir-4651-5p 12
hsa-mir-605-5p 44
hsa-mir-548ac-5p 491
hsa-mir-30a-3p 91
hsa-mir-3179-1-5p 31
hsa-mir-1292-3p 186
hsa-mir-1257-5p 715
hsa-mir-1302-11-3p 5
hsa-mir-378d-1-3p 1127
hsa-mir-4651-loop 6
hsa-mir-1293-3p 530
hsa-mir-365b-loop 9
hsa-mir-3116-1-5p 42
hsa-mir-4539-3p 6
hsa-mir-676-3p 425
hsa-mir-5697-3p 12
hsa-mir-324-loop 152
hsa-mir-6514-5p 202
hsa-mir-130b-3p 22940
hsa-mir-320a-5p 45
hsa-mir-29a-5p 5214
hsa-mir-2110-3p 1255
hsa-mir-4804-5p 1
hsa-mir-6810-3p 12
hsa-mir-12114-3p 3
hsa-mir-6770-1-5p 14
hsa-mir-370-3p 4
hsa-mir-374b-5p 15888
hsa-mir-548ap-3p 1
hsa-mir-101-1-3p 337997
hsa-mir-877-3p 1287
hsa-mir-6865-3p 7
hsa-mir-6811-5p 83
hsa-mir-4663-5p 18
hsa-mir-3664-3p 472
hsa-mir-376a-2-3p 102
hsa-mir-6766-3p 56
hsa-mir-208b-3p 8
hsa-mir-6801-3p 29
hsa-mir-125a-loop 298
hsa-mir-1976-3p 22
hsa-mir-3688-1-3p 123
hsa-mir-10a-3p 13905
hsa-mir-941-5-5p 69
hsa-mir-3115-5p 173
hsa-mir-140-loop 58
hsa-mir-550a-3-3p 489
hsa-mir-28-3p 37863
hsa-mir-142-5p 322
hsa-mir-532-5p 46191
hsa-mir-3194-5p 78
hsa-mir-6862-2-3p 27
hsa-mir-610-5p 60
hsa-mir-31-loop 2286
hsa-mir-3193-loop 8
hsa-mir-6511b-1-5p 67
hsa-mir-6824-loop 13
hsa-mir-4793-3p 8
hsa-mir-4472-2-loop 7
hsa-mir-3132-3p 748
hsa-mir-4799-3p 13
hsa-mir-203b-loop 4
hsa-mir-4707-loop 73
hsa-mir-6770-2-5p 20
hsa-mir-3615-5p 9
hsa-mir-548ba-5p 6
hsa-mir-5581-3p 827
hsa-mir-452-5p 9079
hsa-mir-484-5p 49076
hsa-mir-1293-loop 35
hsa-mir-197-3p 59782
hsa-mir-3120-3p 259
hsa-mir-3938-3p 2
hsa-mir-6728-5p 7
hsa-mir-3179-3-5p 27
hsa-mir-609-loop 17
hsa-mir-6820-3p 3
hsa-mir-210-3p 9093
hsa-mir-497-3p 30
hsa-mir-130a-5p 363
hsa-mir-548at-3p 19
hsa-mir-6125-3p 13
hsa-mir-12125-5p 11
hsa-mir-449a-5p 3060
hsa-mir-3648-1-loop 62
hsa-mir-3180-1-loop 3
hsa-mir-941-4-loop 283
hsa-mir-4637-3p 30
hsa-mir-6818-3p 43
hsa-mir-10396a-loop 93
hsa-mir-155-5p 3
hsa-let-7f-2-5p 812009
hsa-mir-6789-3p 19
hsa-mir-1306-5p 2207
hsa-mir-3145-3p 148
hsa-mir-19a-5p 38
hsa-mir-92a-1-5p 5611
hsa-mir-135a-2-3p 3
hsa-mir-1243-5p 42
hsa-mir-22-loop 23
hsa-mir-1229-3p 553
hsa-mir-137-3p 20
hsa-mir-12124-3p 10
hsa-mir-4519-5p 22
hsa-mir-363-3p 1433
hsa-mir-23a-3p 2074614
hsa-mir-19b-1-3p 153332
hsa-mir-10392-5p 26
hsa-mir-92a-2-3p 1166688
hsa-mir-2114-5p 21
hsa-mir-6796-3p 9
hsa-mir-15b-3p 28123
hsa-mir-296-5p 152
hsa-mir-6882-3p 1
hsa-let-7g-5p 1185517
hsa-let-7i-5p 727104
hsa-mir-8485-5p 34
hsa-mir-5090-3p 7
hsa-mir-378h-5p 4
hsa-mir-3178-5p 49
hsa-mir-6724-4-5p 192
hsa-mir-642b-5p 7
hsa-mir-153-1-5p 61
hsa-mir-32-5p 3654
hsa-mir-454-5p 4242
hsa-mir-1271-5p 176
hsa-mir-186-loop 13
hsa-mir-6879-3p 13
hsa-mir-7975-3p 8
hsa-mir-29c-5p 1487
hsa-mir-551b-5p 8
hsa-mir-7702-5p 7
hsa-mir-4797-5p 64
hsa-mir-3150b-5p 12
hsa-mir-15b-loop 71
hsa-mir-563-loop 3
hsa-mir-19a-loop 197
hsa-mir-6865-5p 1
hsa-mir-6757-5p 4
hsa-mir-5010-5p 10
hsa-mir-4659b-3p 4
hsa-mir-33a-3p 579
hsa-mir-221-loop 1454
hsa-mir-4473-5p 219
hsa-mir-491-5p 634
hsa-mir-4525-3p 25
hsa-mir-31-5p 1607193
hsa-mir-141-5p 1638
hsa-mir-5008-3p 24
hsa-mir-154-5p 4
hsa-mir-6728-3p 19
hsa-mir-609-5p 23
hsa-mir-574-5p 10129
hsa-mir-1246-5p 2020
hsa-mir-196b-3p 190
hsa-mir-3135a-3p 15
hsa-mir-7-2-3p 12
hsa-mir-4436b-1-3p 41
hsa-mir-92b-5p 3009
hsa-mir-3910-2-3p 9
hsa-mir-221-3p 1387691
hsa-mir-6516-5p 369
hsa-mir-3913-1-5p 25
hsa-mir-1289-2-3p 10
hsa-mir-3179-2-3p 172
hsa-mir-590-loop 930
hsa-mir-588-5p 256
hsa-mir-6832-3p 1
hsa-mir-146b-5p 20753
hsa-mir-6783-5p 34
hsa-mir-744-loop 2
hsa-mir-3180-5-5p 28
hsa-mir-543-3p 171
hsa-mir-5583-1-5p 3
hsa-mir-663a-3p 307
hsa-mir-758-3p 10
hsa-mir-200a-5p 17163
hsa-mir-1197-3p 9
hsa-mir-1294-3p 16
hsa-mir-6513-3p 55
hsa-mir-1247-3p 271
hsa-mir-5001-5p 149
hsa-mir-3159-3p 577
hsa-mir-6799-loop 30
hsa-mir-34a-5p 80904
hsa-mir-671-loop 10
hsa-mir-3127-5p 134
hsa-mir-4762-5p 146
hsa-mir-145-loop 27
hsa-mir-30b-loop 311
hsa-mir-7854-3p 445
hsa-mir-3177-5p 42
hsa-mir-6859-1-3p 14
hsa-mir-26b-5p 421107
hsa-mir-2277-5p 2094
hsa-mir-935-5p 100
hsa-mir-885-5p 75
hsa-mir-550a-2-5p 608
hsa-mir-548q-5p 614
hsa-mir-6892-5p 18
hsa-mir-193a-3p 83
hsa-mir-6813-5p 40
hsa-mir-643-5p 199
hsa-mir-361-3p 27122
hsa-mir-449b-3p 36
hsa-mir-578-3p 15
hsa-mir-6767-5p 72
hsa-mir-3194-3p 97
hsa-mir-377-5p 29
hsa-mir-138-1-3p 1
hsa-mir-3074-3p 161
hsa-mir-7-2-5p 481583
hsa-mir-2467-3p 36
hsa-mir-6836-5p 27
hsa-mir-4659a-5p 84
hsa-mir-6758-3p 27
hsa-mir-1293-5p 424
hsa-mir-558-5p 6
hsa-mir-7844-5p 23
hsa-mir-302d-5p 31
hsa-mir-6800-5p 15
hsa-mir-548o-2-5p 503
hsa-mir-4684-5p 109
hsa-mir-4655-3p 8
hsa-let-7e-loop 139
hsa-mir-92a-1-loop 82
hsa-mir-4521-5p 49580
hsa-mir-627-5p 684
hsa-mir-586-5p 49
hsa-mir-4682-5p 5
hsa-mir-3136-5p 301
hsa-mir-345-loop 44
hsa-mir-425-3p 10292
hsa-mir-449b-5p 246
hsa-mir-4766-5p 76
hsa-mir-6876-3p 5
hsa-mir-2278-5p 63
hsa-mir-10396b-3p 39
hsa-mir-4714-3p 3
hsa-mir-6511b-1-3p 202
hsa-mir-559-3p 1205
hsa-mir-941-2-3p 2671
hsa-mir-4306-3p 17
hsa-mir-5088-5p 30
hsa-mir-6729-3p 13
hsa-mir-1343-loop 190
hsa-mir-410-5p 1
hsa-mir-337-3p 15
hsa-mir-6801-5p 28
hsa-mir-3135b-3p 19
hsa-mir-1972-1-5p 1
hsa-mir-34b-3p 29
hsa-mir-30b-5p 164062
hsa-mir-4728-3p 171
hsa-mir-6721-3p 4
hsa-mir-887-loop 1
hsa-mir-146a-5p 145
hsa-mir-5587-3p 2
hsa-mir-4444-1-3p 13
hsa-mir-6813-3p 24
hsa-mir-548at-5p 97
hsa-mir-548f-2-3p 156
hsa-mir-486-2-3p 131
hsa-mir-6503-3p 38
hsa-mir-4768-3p 15
hsa-mir-3912-5p 8
hsa-mir-4640-3p 116
hsa-mir-3940-3p 2028
hsa-mir-203b-3p 5078
hsa-mir-1302-3-5p 10
hsa-mir-376b-3p 40
hsa-mir-548ar-5p 2
hsa-mir-548d-1-loop 182
hsa-mir-5010-3p 197
hsa-mir-561-3p 2108
hsa-mir-556-5p 1000
hsa-mir-3180-1-5p 4
hsa-mir-4463-3p 7
hsa-mir-199a-2-3p 1841
hsa-mir-489-3p 116
hsa-mir-302c-3p 185
hsa-mir-219b-5p 131
hsa-mir-195-5p 2241
hsa-mir-616-loop 4
hsa-mir-627-3p 2277
hsa-mir-3615-3p 17864
hsa-mir-145-5p 36558
hsa-mir-4802-5p 27
hsa-mir-5585-3p 132
hsa-mir-5698-3p 7
hsa-mir-4326-loop 4326
hsa-mir-509-3-3p 4
hsa-mir-3942-3p 218
hsa-mir-196a-1-3p 987
hsa-mir-3179-1-3p 189
hsa-mir-3139-5p 70
hsa-mir-5100-3p 30
hsa-mir-549a-3p 97
hsa-mir-5003-5p 16
hsa-mir-4654-5p 49
hsa-mir-6720-loop 1
hsa-mir-153-2-loop 131
hsa-mir-6831-3p 15
hsa-mir-484-3p 7
hsa-mir-320d-2-3p 393
hsa-mir-133a-1-3p 4
hsa-mir-3648-1-5p 169
hsa-mir-4707-3p 545
hsa-mir-581-3p 11
hsa-mir-1266-3p 17
hsa-mir-6815-5p 33
hsa-mir-3605-3p 386
hsa-mir-3622a-loop 9
hsa-mir-4523-5p 72
hsa-mir-581-5p 67
hsa-mir-548ah-5p 45
hsa-mir-5702-loop 9
hsa-mir-4722-loop 23
hsa-mir-663b-loop 29
hsa-mir-548ay-5p 1538
hsa-mir-6894-3p 3
hsa-mir-4653-5p 144
hsa-mir-513a-2-5p 15
hsa-mir-6877-5p 110
hsa-mir-136-3p 48
hsa-mir-99a-5p 9178
hsa-mir-122b-5p 11
hsa-mir-1237-loop 23
hsa-mir-3180-2-3p 35
hsa-mir-34c-5p 405
hsa-mir-212-3p 106
hsa-mir-18a-loop 40
hsa-mir-222-loop 685
hsa-mir-4518-3p 20
hsa-mir-20b-3p 8
hsa-mir-431-5p 13
hsa-mir-1275-5p 4722
hsa-mir-27b-5p 2737
hsa-mir-1224-5p 543
hsa-mir-590-3p 35500
hsa-mir-5587-5p 25
hsa-mir-11401-5p 18
hsa-mir-3648-2-5p 191
hsa-mir-642a-5p 531
hsa-mir-4482-3p 60
hsa-mir-3157-5p 281
hsa-mir-219a-1-3p 657
hsa-mir-6858-3p 16
hsa-mir-4254-3p 65
hsa-mir-6798-3p 154
hsa-mir-4281-5p 3
hsa-mir-338-3p 5
hsa-mir-7705-5p 95
hsa-mir-4480-3p 14
hsa-mir-5687-5p 16
hsa-mir-1226-5p 139
hsa-mir-6734-5p 54
hsa-mir-153-2-5p 583
hsa-mir-769-loop 147
hsa-mir-548aj-2-5p 5
hsa-mir-2355-5p 1113
hsa-let-7f-2-3p 312
hsa-mir-3690-2-5p 15
hsa-mir-6812-3p 1
hsa-mir-129-1-3p 16
hsa-mir-548i-4-5p 114
hsa-mir-570-5p 114
hsa-mir-3181-3p 4
hsa-mir-4470-3p 90
hsa-mir-139-5p 4661
hsa-mir-6836-3p 9
hsa-mir-3692-3p 77
hsa-mir-1302-6-3p 2
hsa-mir-6778-3p 14
hsa-mir-3195-5p 54
hsa-mir-3187-5p 57
hsa-mir-1299-3p 60
hsa-mir-1909-3p 30
hsa-mir-16-1-5p 399912
hsa-mir-4454-5p 45021
hsa-mir-3663-3p 104
hsa-mir-1256-3p 73
hsa-mir-4717-3p 35
hsa-mir-5008-5p 23
hsa-mir-548i-3-5p 103
hsa-mir-6886-3p 32
hsa-mir-3929-loop 157
hsa-mir-6791-3p 43
hsa-mir-340-5p 84566
hsa-mir-7977-5p 5
hsa-mir-6740-3p 8
hsa-mir-1179-3p 23
hsa-mir-548f-4-5p 34
hsa-mir-744-5p 44172
hsa-mir-10396b-5p 23
hsa-mir-29b-2-5p 1430
hsa-mir-95-3p 49348
hsa-mir-4726-3p 18
hsa-mir-6812-5p 9
hsa-mir-345-5p 33441
hsa-mir-1258-3p 40
hsa-mir-4424-3p 59
hsa-mir-10399-3p 697
hsa-mir-941-1-3p 2704
hsa-mir-6815-3p 18
hsa-mir-941-3-3p 2657
hsa-mir-153-2-3p 1274
hsa-mir-4512-5p 17
hsa-mir-9903-loop 12
hsa-mir-6511a-4-3p 134
hsa-mir-130b-loop 595
hsa-mir-376c-3p 79
hsa-mir-6761-5p 13
hsa-mir-548k-5p 6461
hsa-mir-574-loop 5
hsa-mir-4430-5p 11
hsa-mir-194-1-3p 4
hsa-mir-1303-5p 1934
hsa-mir-653-5p 258
hsa-mir-2277-3p 1187
hsa-mir-7-1-loop 20
hsa-mir-7109-3p 37
hsa-mir-597-3p 398
hsa-mir-3611-3p 181
hsa-mir-182-loop 44
hsa-mir-1286-3p 157
hsa-mir-1268b-5p 3067
hsa-mir-4697-5p 36
hsa-mir-1231-5p 5
hsa-mir-1297-3p 4
hsa-mir-4652-5p 547
hsa-mir-6733-5p 59
hsa-mir-3960-3p 142
hsa-mir-548u-3p 615
hsa-mir-548w-5p 2715
hsa-mir-3180-3-loop 1
hsa-mir-27a-loop 47
hsa-mir-6732-3p 58
hsa-mir-8072-3p 106
hsa-mir-320a-3p 318366
hsa-mir-1908-loop 9
hsa-mir-1302-1-3p 2
hsa-mir-6842-5p 2
hsa-mir-1538-3p 78
hsa-mir-301b-loop 19
hsa-mir-1296-3p 32
hsa-mir-942-5p 7214
hsa-mir-578-5p 7
hsa-mir-6797-3p 167
hsa-mir-4286-5p 29176
hsa-mir-4423-3p 107
hsa-mir-4757-5p 5
hsa-mir-6793-5p 37
hsa-mir-132-3p 9166
hsa-mir-7106-5p 6
hsa-mir-548j-3p 18
hsa-mir-129-1-5p 29
hsa-mir-124-3-3p 16
hsa-mir-7112-3p 11
hsa-mir-5187-3p 36
hsa-mir-3180-4-5p 32
hsa-mir-4772-5p 20
hsa-mir-3620-5p 17
hsa-mir-6862-1-3p 19
hsa-mir-3146-5p 24
hsa-mir-6840-5p 22
hsa-mir-600-3p 69
hsa-mir-6768-loop 13
hsa-mir-34b-5p 32
hsa-mir-493-5p 42
hsa-mir-550a-2-3p 512
hsa-mir-942-loop 72
hsa-mir-1276-5p 714
hsa-mir-3672-3p 10
hsa-mir-3182-5p 855
hsa-mir-671-3p 4494
hsa-mir-200a-3p 265185
hsa-mir-548aq-3p 28
hsa-mir-200b-3p 695364
hsa-mir-1-2-3p 12
hsa-mir-3941-5p 161
hsa-mir-377-3p 7
hsa-mir-125b-1-loop 64
hsa-mir-1302-2-3p 4
hsa-mir-941-2-loop 274
hsa-mir-93-3p 17745
hsa-mir-3682-3p 59
hsa-mir-219b-3p 83
hsa-mir-10396a-3p 23
hsa-mir-1301-loop 17
hsa-mir-3155a-3p 137
hsa-mir-1285-1-loop 29
hsa-mir-1301-3p 22319
hsa-mir-6856-5p 3
hsa-mir-379-5p 243
hsa-mir-548t-5p 94
hsa-mir-4709-5p 13
hsa-mir-3913-1-3p 2
hsa-mir-22-3p 70213
hsa-mir-330-3p 29645
hsa-mir-4747-3p 6
hsa-mir-16-2-5p 402512
hsa-mir-6816-5p 2
hsa-mir-3618-loop 18
hsa-mir-548aq-loop 13
hsa-mir-509-2-3p 3
hsa-mir-6513-5p 41
hsa-mir-6804-5p 9
hsa-mir-4324-3p 8
hsa-mir-7155-3p 41
hsa-mir-769-5p 91151
hsa-mir-1296-5p 29529
hsa-mir-4726-5p 48
hsa-mir-4488-5p 20
hsa-mir-4523-loop 19
hsa-mir-1306-3p 631
hsa-mir-548a-3-5p 111
hsa-mir-4761-5p 45
hsa-mir-3908-5p 23
hsa-mir-18a-3p 6785
hsa-mir-4695-3p 17
hsa-mir-4771-1-5p 27
hsa-mir-3916-5p 37
hsa-mir-19b-2-5p 2
hsa-mir-548o-2-3p 1510
hsa-mir-1287-5p 4366
hsa-mir-27b-loop 57
hsa-mir-200c-5p 997
hsa-mir-3158-2-5p 40
hsa-mir-6859-4-3p 17
hsa-mir-548ak-5p 27
hsa-mir-215-5p 174
hsa-mir-211-5p 80
hsa-mir-4690-3p 43
hsa-mir-3130-2-3p 70
hsa-mir-6889-5p 3
hsa-mir-6132-5p 19
hsa-mir-199b-5p 6224
hsa-mir-1249-3p 4187
hsa-mir-4477a-3p 1
hsa-mir-6869-3p 17
hsa-mir-25-3p 779517
hsa-mir-4753-3p 78
hsa-mir-2110-5p 2392
hsa-mir-548d-1-5p 1999
hsa-mir-4635-3p 29
hsa-let-7e-5p 92403
hsa-mir-4688-3p 34
hsa-mir-941-1-loop 285
hsa-mir-760-5p 58
hsa-mir-342-loop 43
hsa-mir-9903-3p 1393
hsa-mir-643-3p 744
hsa-mir-609-3p 11
hsa-mir-3158-2-3p 1584
hsa-mir-3910-1-3p 7
hsa-mir-552-5p 14
hsa-mir-4787-3p 1869
hsa-mir-548aw-3p 4
hsa-mir-190a-5p 1534
hsa-mir-548aa-1-3p 548
hsa-mir-3180-5-3p 3
hsa-mir-103a-2-loop 125
hsa-mir-3972-3p 1
hsa-mir-6837-5p 24
hsa-mir-5579-5p 15
hsa-mir-548ar-3p 586
hsa-mir-10401-loop 33
hsa-mir-4500-3p 13
hsa-mir-365b-5p 77
hsa-mir-188-5p 1061
hsa-mir-5687-3p 5
hsa-mir-4453-loop 14
hsa-mir-1285-1-3p 845
hsa-mir-3667-5p 297
hsa-mir-6894-5p 4
hsa-mir-664b-loop 8
hsa-mir-6820-5p 55
hsa-mir-4733-5p 26
hsa-mir-548w-3p 34
hsa-mir-7845-3p 12
hsa-mir-382-5p 114
hsa-mir-938-5p 20
hsa-mir-6842-3p 116
hsa-let-7g-3p 407
hsa-mir-3143-5p 614
hsa-mir-3939-loop 12
hsa-mir-4723-loop 4
hsa-mir-548ae-2-3p 4
hsa-mir-378a-5p 8096
hsa-mir-7705-3p 31
hsa-mir-3152-5p 9
hsa-mir-6739-5p 42
hsa-mir-1302-8-3p 7
hsa-mir-3609-3p 100
hsa-mir-9-2-3p 59037
hsa-mir-935-3p 2322
hsa-mir-6847-5p 77
hsa-mir-4421-3p 18
hsa-let-7b-5p 133169
hsa-mir-9-1-loop 391
hsa-mir-4795-5p 6
hsa-mir-320e-3p 135
hsa-mir-3664-5p 68
hsa-mir-6884-5p 12
hsa-mir-4680-3p 14
hsa-mir-181b-2-5p 10168
hsa-mir-203a-loop 57
hsa-mir-1266-5p 544
hsa-mir-548d-1-3p 380
hsa-mir-4479-5p 10
hsa-mir-493-3p 65
hsa-mir-20a-5p 288946
hsa-mir-3162-3p 27
hsa-mir-188-3p 33
hsa-mir-487a-3p 1
hsa-mir-3175-3p 21
hsa-mir-3619-5p 306
hsa-mir-6825-3p 24
hsa-mir-4707-5p 961
hsa-mir-1236-3p 23
hsa-mir-487b-3p 248
hsa-mir-30d-loop 1
hsa-mir-4740-5p 2
hsa-mir-641-5p 11491
hsa-mir-24-2-3p 376843
hsa-mir-6803-3p 113
hsa-mir-3605-5p 125
hsa-mir-3162-5p 3
hsa-mir-192-5p 7457
hsa-mir-3123-3p 1
hsa-mir-4470-5p 1
hsa-mir-6888-5p 11
hsa-mir-29b-1-5p 15789
hsa-mir-3065-5p 780
hsa-mir-5009-5p 89
hsa-mir-8072-5p 82
hsa-mir-548ab-5p 543
hsa-mir-4504-3p 538
hsa-mir-6825-5p 25
hsa-mir-378c-5p 9437
hsa-mir-548f-4-3p 1
hsa-mir-186-3p 173
hsa-mir-187-3p 254
hsa-mir-421-3p 12897
hsa-mir-4749-3p 9
hsa-mir-511-3p 6
hsa-mir-6830-3p 10
hsa-mir-424-5p 1289
hsa-mir-3922-3p 305
hsa-mir-1303-3p 9029
hsa-mir-628-5p 1432
hsa-mir-152-5p 29
hsa-mir-641-3p 884
hsa-mir-125b-1-5p 915959
hsa-mir-5702-3p 25
hsa-mir-3619-3p 28
hsa-mir-106a-3p 16
hsa-mir-3121-3p 60
hsa-mir-3191-3p 6
hsa-mir-5706-5p 8
hsa-mir-302b-5p 17
hsa-mir-3908-3p 37
hsa-mir-548ah-3p 107
hsa-mir-3689e-5p 5
hsa-mir-486-1-3p 261
hsa-mir-662-5p 9
hsa-mir-506-3p 19
hsa-mir-3617-5p 31
hsa-mir-3690-1-5p 16
hsa-mir-5091-3p 6
hsa-mir-4498-5p 75
hsa-mir-935-loop 8
hsa-mir-3160-1-3p 7
hsa-mir-4254-5p 21
hsa-mir-4720-5p 22
hsa-mir-218-2-5p 2789
hsa-mir-1972-2-3p 2
hsa-mir-339-3p 20704
hsa-mir-1276-3p 96
hsa-mir-548d-2-5p 2043
hsa-mir-621-5p 11
hsa-mir-375-3p 27532
hsa-mir-6735-5p 58
hsa-mir-6807-loop 10
hsa-mir-449c-3p 137
hsa-mir-10401-3p 8233
hsa-mir-639-5p 1
hsa-mir-34a-loop 301
hsa-mir-7110-3p 51
hsa-mir-1256-5p 81
hsa-mir-335-3p 45188
hsa-mir-191-3p 6989
hsa-mir-301b-5p 2133
hsa-mir-1468-5p 667
hsa-mir-362-3p 4949
hsa-mir-576-loop 39
hsa-mir-130a-3p 9579
hsa-mir-8086-3p 133
hsa-mir-4999-5p 35
hsa-mir-3064-5p 247
hsa-mir-1291-5p 98
hsa-mir-5702-5p 48
hsa-mir-3193-5p 27
hsa-mir-5090-5p 37
hsa-mir-1255a-3p 2479
hsa-mir-3122-5p 17
hsa-mir-139-3p 279
hsa-mir-4492-3p 11
hsa-mir-612-3p 5
hsa-mir-185-5p 62534
hsa-mir-122-5p 413
hsa-mir-96-loop 670
hsa-mir-1915-5p 141
hsa-mir-5683-5p 39
hsa-mir-1247-loop 29
hsa-mir-3130-1-5p 114
hsa-mir-134-5p 84
hsa-mir-1302-9-3p 2
hsa-mir-451a-loop 41
hsa-mir-132-loop 26
hsa-mir-380-3p 4
hsa-mir-5708-5p 3
hsa-mir-5088-3p 13
hsa-mir-6826-5p 5
hsa-mir-151a-loop 52
hsa-mir-1255b-2-5p 54
