miRNA Number_of_reads
hsa-mir-181c-5p 2483
hsa-mir-937-3p 408
hsa-mir-589-3p 1035
hsa-mir-151a-3p 283387
hsa-mir-424-3p 618
hsa-mir-508-3p 13
hsa-mir-548j-5p 958
hsa-mir-301b-3p 962
hsa-mir-378e-3p 172
hsa-mir-98-5p 207526
hsa-mir-3140-5p 228
hsa-mir-223-3p 31
hsa-mir-561-5p 2418
hsa-mir-4485-3p 310
hsa-mir-6726-3p 61
hsa-mir-4479-3p 109
hsa-mir-1292-5p 2012
hsa-mir-105-1-5p 11
hsa-mir-1294-5p 320
hsa-mir-5701-1-5p 30
hsa-mir-4730-loop 1
hsa-mir-3179-3-3p 208
hsa-mir-6741-3p 58
hsa-mir-135b-loop 249
hsa-mir-4484-3p 1567
hsa-mir-4684-3p 73
hsa-mir-374c-5p 17
hsa-mir-1843-5p 460
hsa-mir-3159-5p 252
hsa-mir-942-3p 1415
hsa-mir-548s-3p 688
hsa-mir-940-5p 56
hsa-mir-532-3p 3925
hsa-mir-5188-3p 9
hsa-mir-7706-loop 8
hsa-mir-3199-1-5p 17
hsa-mir-708-loop 6
hsa-mir-7854-5p 90
hsa-mir-455-3p 25892
hsa-mir-5094-3p 49
hsa-mir-3160-2-5p 6
hsa-mir-504-5p 42
hsa-mir-181a-2-loop 15
hsa-mir-515-2-5p 2
hsa-mir-6763-5p 135
hsa-mir-572-3p 37
hsa-mir-374a-loop 18
hsa-mir-1973-3p 13
hsa-mir-548y-3p 31
hsa-mir-4518-5p 32
hsa-mir-4753-5p 30
hsa-mir-3622a-5p 247
hsa-mir-6764-5p 48
hsa-mir-3144-3p 30
hsa-mir-3652-loop 6
hsa-mir-6862-2-5p 18
hsa-let-7c-5p 2673
hsa-mir-4999-3p 6
hsa-mir-3689a-5p 4
hsa-mir-30c-2-5p 197844
hsa-mir-548l-5p 1790
hsa-mir-138-2-5p 82
hsa-mir-597-5p 310
hsa-mir-9902-1-3p 10
hsa-mir-1302-3-3p 3
hsa-mir-378g-5p 32
hsa-mir-106b-loop 385
hsa-mir-12133-5p 15
hsa-mir-6511b-2-3p 196
hsa-mir-6775-3p 61
hsa-mir-548d-2-3p 209
hsa-mir-499b-5p 5
hsa-mir-6866-5p 254
hsa-mir-26a-1-3p 739
hsa-mir-1843-3p 33
hsa-mir-939-loop 7
hsa-mir-7113-5p 13
hsa-mir-301a-5p 7649
hsa-mir-4440-3p 190
hsa-mir-4754-3p 23
hsa-mir-100-3p 5718
hsa-mir-3680-1-3p 22
hsa-mir-632-3p 32
hsa-mir-9898-3p 512
hsa-mir-466-3p 42
hsa-mir-4783-3p 51
hsa-mir-6787-3p 61
hsa-mir-1255b-1-5p 43
hsa-mir-4284-5p 5
hsa-mir-1322-3p 4
hsa-mir-6780b-5p 27
hsa-mir-16-1-loop 12
hsa-mir-33a-loop 1945
hsa-mir-374c-3p 7
hsa-let-7b-3p 2527
hsa-mir-30e-5p 617157
hsa-mir-3196-5p 16
hsa-mir-454-loop 18
hsa-mir-497-5p 1071
hsa-mir-5092-5p 20
hsa-mir-4761-3p 56
hsa-mir-4723-5p 1
hsa-mir-6514-3p 7
hsa-mir-4775-5p 64
hsa-mir-548a-3-3p 133
hsa-mir-6854-5p 34
hsa-mir-548g-5p 6
hsa-mir-642a-3p 591
hsa-mir-6742-5p 12
hsa-mir-1343-5p 40
hsa-mir-939-3p 36
hsa-mir-28-loop 93
hsa-mir-3180-2-5p 4
hsa-mir-188-loop 139
hsa-mir-4520-1-5p 6
hsa-mir-7974-3p 22034
hsa-mir-7114-5p 13
hsa-mir-6770-3-5p 14
hsa-mir-6741-5p 14
hsa-mir-4661-5p 1272
hsa-mir-24-1-3p 376916
hsa-mir-21-5p 28377405
hsa-mir-3691-5p 881
hsa-mir-1295a-3p 583
hsa-mir-6895-3p 6
hsa-mir-4755-5p 66
hsa-mir-4777-3p 17
hsa-mir-6821-3p 6
hsa-mir-548ae-2-5p 112
hsa-mir-664b-3p 136
hsa-mir-524-5p 9
hsa-mir-499a-5p 673
hsa-mir-3936-3p 16
hsa-mir-3176-3p 665
hsa-mir-2110-loop 7
hsa-mir-374a-3p 11586
hsa-mir-496-3p 8
hsa-mir-483-3p 3314
hsa-mir-548x-2-5p 4
hsa-mir-7976-5p 2857
hsa-mir-6500-3p 2
hsa-mir-324-3p 1775
hsa-mir-10b-5p 102486
hsa-mir-3121-5p 14
hsa-mir-3614-5p 208
hsa-mir-4469-5p 1
hsa-mir-6771-5p 10
hsa-mir-6799-3p 26
hsa-mir-1307-5p 12830
hsa-mir-6729-5p 43
hsa-mir-548az-loop 3
hsa-mir-4803-5p 31
hsa-mir-3189-3p 261
hsa-mir-3942-5p 434
hsa-mir-550a-1-5p 623
hsa-mir-639-3p 29
hsa-mir-296-3p 308
hsa-mir-6777-5p 78
hsa-mir-4661-3p 172
hsa-mir-12136-3p 627
hsa-mir-26a-2-5p 533607
hsa-mir-32-loop 743
hsa-mir-3918-5p 16
hsa-let-7a-1-5p 655398
hsa-mir-9986-5p 4
hsa-mir-181a-1-3p 3709
hsa-mir-4769-3p 80
hsa-mir-450a-1-3p 19
hsa-mir-548x-2-3p 2
hsa-mir-3173-3p 87
hsa-let-7a-3-loop 303
hsa-mir-6789-5p 13
hsa-mir-4774-5p 28
hsa-mir-4645-3p 42
hsa-mir-558-3p 1
hsa-mir-9903-5p 331
hsa-mir-4455-5p 5
hsa-mir-219a-2-5p 3
hsa-mir-3135a-5p 3
hsa-mir-6743-3p 26
hsa-mir-23b-3p 116120
hsa-mir-4795-3p 11
hsa-mir-6724-2-5p 225
hsa-mir-6763-3p 22
hsa-mir-4671-5p 44
hsa-mir-3940-5p 20
hsa-mir-139-loop 11
hsa-mir-196a-1-loop 25
hsa-mir-143-5p 76
hsa-mir-4742-5p 159
hsa-mir-1915-3p 265
hsa-mir-12121-3p 1
hsa-mir-6890-5p 19
hsa-mir-6852-3p 1
hsa-mir-103a-2-5p 307
hsa-mir-1913-5p 32
hsa-mir-30a-5p 918
hsa-mir-3911-5p 196
hsa-mir-6859-3-3p 18
hsa-mir-5191-5p 6
hsa-mir-663b-3p 203
hsa-mir-450b-3p 7
hsa-mir-4673-5p 5
hsa-mir-194-1-5p 3103
hsa-mir-4762-3p 68
hsa-mir-3913-2-5p 29
hsa-mir-7703-3p 1
hsa-mir-3189-5p 37
hsa-mir-548ad-5p 200
hsa-mir-4804-loop 6
hsa-mir-6885-3p 24
hsa-mir-320c-1-3p 1000
hsa-mir-181a-2-3p 21251
hsa-mir-551a-3p 2041
hsa-mir-6780a-5p 12
hsa-mir-216b-5p 36
hsa-mir-369-3p 1060
hsa-mir-9-1-3p 58916
hsa-mir-4763-5p 49
hsa-mir-181b-1-3p 286
hsa-mir-548h-2-3p 174
hsa-mir-5580-3p 233
hsa-mir-93-5p 921034
hsa-mir-4512-3p 17
hsa-mir-138-1-5p 100
hsa-mir-4670-5p 1
hsa-mir-126-5p 26907
hsa-mir-147a-3p 9
hsa-mir-3620-loop 15
hsa-mir-4741-loop 17
hsa-mir-6768-5p 63
hsa-mir-3200-5p 544
hsa-mir-199b-3p 1792
hsa-mir-1234-3p 288
hsa-mir-4435-2-3p 12
hsa-mir-4766-3p 292
hsa-mir-196b-5p 49594
hsa-mir-4775-3p 26
hsa-mir-1227-3p 11
hsa-mir-1226-3p 776
hsa-mir-3190-5p 11
hsa-mir-744-3p 6331
hsa-mir-576-3p 8490
hsa-mir-133a-2-3p 6
hsa-mir-3199-2-5p 25
hsa-mir-4489-5p 29
hsa-mir-15a-5p 24896
hsa-mir-411-5p 77
hsa-mir-6763-loop 3
hsa-mir-4435-2-5p 223
hsa-mir-6089-2-5p 5
hsa-mir-4794-5p 32
hsa-mir-4517-5p 2403
hsa-mir-6125-5p 11
hsa-mir-6505-5p 165
hsa-mir-190b-5p 233
hsa-mir-548b-5p 361
hsa-mir-4436b-2-3p 54
hsa-mir-4466-5p 27
hsa-mir-3116-2-5p 5
hsa-mir-3714-5p 7
hsa-mir-494-3p 175
hsa-mir-3681-3p 17
hsa-mir-4660-5p 355
hsa-mir-342-5p 215
hsa-mir-3659-3p 1301
hsa-mir-548av-3p 6
hsa-mir-4758-5p 49
hsa-mir-548n-5p 1237
hsa-mir-1302-7-3p 2
hsa-mir-140-5p 11148
hsa-mir-5089-3p 77
hsa-mir-323a-3p 64
hsa-mir-6792-3p 44
hsa-mir-6873-3p 88
hsa-mir-766-5p 146
hsa-mir-5690-5p 312
hsa-mir-30e-loop 223
hsa-mir-181d-loop 20
hsa-mir-4713-5p 515
hsa-mir-548ac-3p 58
hsa-mir-4451-3p 1
hsa-mir-8485-3p 244
hsa-mir-378a-3p 251442
hsa-mir-3613-5p 13475
hsa-mir-3675-5p 2
hsa-mir-5701-2-5p 38
hsa-mir-326-3p 732
hsa-mir-6786-3p 63
hsa-mir-3934-5p 647
hsa-mir-3165-3p 3
hsa-mir-605-3p 90
hsa-mir-577-loop 2
hsa-mir-618-5p 824
hsa-mir-3166-3p 6
hsa-mir-10399-5p 669
hsa-mir-598-3p 87
hsa-mir-5690-3p 89
hsa-mir-4999-loop 38
hsa-mir-6505-3p 114
