Library Number_of_genomic_reads
SRR2915342 19057299
SRR2915343 16822645
SRR2915344 16135293
SRR6324194 10163103
SRR6895202 38939661
SRR6895203 13985413
SRR6895204 17310000
SRR6895205 43402708
SRR3144036 247260
SRR3144037 263579
SRR3144038 142494
SRR3144039 59483
SRR3144040 254462
SRR3144041 327156
SRR3144044 178910
SRR3144045 241250
SRR3144046 107135
SRR3144047 3707
SRR3144048 150349
SRR3144049 13634
SRR3144050 352291
SRR3144051 165727
SRR3144052 308598
SRR3144053 190141
SRR3144055 87684
SRR3144057 44293
SRR3144060 105234
SRR7412334 1196720
SRR7412333 1426792
SRR7412332 1022820
SRR7412329 383736
SRR7412328 1553855
SRR7412330 393253
SRR7412326 2314388
SRR7412331 735340
SRR7412327 1277558
SRR7412315 965431
SRR7412311 799586
SRR7412313 1024564
SRR7412314 1595843
SRR7412310 1149271
SRR7412309 757398
SRR7412308 924849
SRR7412307 890885
SRR7412303 1149313
SRR7412306 1215940
SRR7412304 604592
SRR7412305 1467568
SRR7412300 3097842
SRR7412302 1507676
SRR7412297 1127671
SRR7412299 1692032
SRR7412298 957645
SRR7412296 711727
SRR7412284 770099
SRR7412282 751897
SRR7412283 1318754
SRR7412285 1138669
SRR7412281 965599
SRR7412280 784299
SRR7412274 798155
SRR7412273 1428015
SRR7412275 1571310
SRR7412278 505966
SRR9844335 3882697
SRR9844337 4836824
SRR9844336 4511880
SRR9844338 330408
SRR9844339 4672821
SRR9844340 2959852
SRR9844341 3885885
SRR9844342 4129175
SRR9844343 3386898
SRR9844345 4865482
SRR9844344 4039565
SRR9844346 4651340
SRR9844348 3341656
SRR9844349 2735215
SRR9844352 3245010
SRR9844351 5274629
SRR9844353 3295506
SRR9844354 4725020
SRR9844355 4125254
SRR9844357 5112722
SRR9844356 3253532
SRR9844358 5012516
SRR9844359 5108010
SRR9844360 4927512
SRR9844362 4232741
SRR9844364 7953821
SRR9844366 5446101
SRR9844367 5736515
SRR9844368 3891478
SRR9844369 3584671
SRR9844371 3701851
SRR9844370 3572071
SRR9844372 4368688
SRR9844373 4964861
SRR9844375 7137505
SRR9844378 1392290
SRR9844379 4645276
SRR9844377 7395252
SRR9844381 6991905
SRR9844380 5619720
SRR9844382 4356060
SRR9844383 4771630
SRR9844384 5496343
SRR9844385 7181686
SRR9844386 7365545
SRR11912557 923719
SRR11912558 436860
SRR11912559 7874560
SRR11912560 4910752
SRR11912561 38338
SRR11912562 7439956
SRR11912563 9106518
SRR11912574 6107074
SRR8393464 1637349
SRR8393465 1210723
SRR7012343 5854975
SRR8393466 4352492
